,Latitude,Longitude,Height,pr_level,stats,obs,snr,gaps,multipath,segment,TOPSIS
ABMF00GLP,16.26230555555555,-61.52753055555555,-25.0,4,100,32563.6,42.75,77.0,0.388,42,3
ABPO00MDG,-19.01830602777778,47.22921169444445,1552.9923,4,100,32418.2,42.07000000000001,61.8,0.385,5,1
AIRA00JPN,31.82406111111111,130.59959166666667,314.64,2,100,25384.5,42.71,66.9,0.27,67,2
AJAC00FRA,41.92745,8.762608333333334,98.8,2,100,28803.6,46.64,60.3,0.14100000000000001,1,1
ALBH00CAN,48.38980000000001,-123.48739999999998,32.0,3,100,28321.8,44.13,58.2,0.354,3,2
ALGO00CAN,45.95880000000001,-78.07140000000003,202.0,2,100,26889.0,44.959999999999994,45.3,0.359,7,1
ALIC00AUS,-23.670111111111105,133.88552222222222,603.2,4,90,30820.11111111111,42.455555555555556,117.66666666666667,0.4222222222222223,87,2
AMC400USA,38.803125,-104.5245972222222,1911.3941,5,100,32404.2,43.97,41.4,0.338,31,3
ANMG00MYS,2.784648333333333,101.50660222222224,15.002,5,100,33681.4,40.14,147.0,0.38,43,2
AREG00PER,-16.465423315555558,-71.49290413638887,2489.337,3,100,32407.4,43.36,54.7,0.256,33,2
AREQ00PER,-16.465517,-71.49279666666666,2488.9226,1,100,32092.4,43.190000000000005,64.8,0.305,33,1
ARHT00ATA,-77.82943611111111,166.66365277777777,135.328,11,100,35844.8,43.019999999999996,107.4,0.35,37,2
ARUC00ARM,40.28572222222221,44.08558333333333,1222.0,11,100,29841.5,41.39,88.5,0.38100000000000006,28,2
ASCG00SHN,-7.916280555555557,-14.332663888888886,38.0,2,100,31665.1,42.5,152.9,0.33499999999999996,80,1
BADG00RUS,51.76970555555556,102.23498055555558,811.4,1,100,28955.6,43.2,87.4,0.42800000000000005,30,1
BAKO00IDN,-6.489999999999999,106.85,158.18,2,100,25363.666666666668,42.85555555555555,212.44444444444446,0.2866666666666666,19,2
BAMF00CAN,48.83531666666668,-125.13508888888892,11.1,5,90,27986.0,41.977777777777774,467.22222222222223,0.6022222222222222,3,11
BAUT00DEU,51.19234444444445,14.521733333333334,211.8,11,100,34467.9,44.98,118.5,0.34199999999999997,46,11
BELE00BRA,-1.4087944444444445,-48.46254722222221,9.08,5,100,34850.2,42.650000000000006,124.2,0.732,62,1
BIK000KGZ,42.85419444444443,74.53319444444445,749.2,11,100,30593.4,42.29,51.2,0.24800000000000005,69,3
BOGI00POL,52.4749888888889,21.03521111111112,139.9,9,100,30268.1,44.64000000000001,161.0,0.567,46,12
BOGT00COL,4.640073083333332,-74.08093955555555,2576.7782,11,100,27347.2,43.89,114.3,0.44800000000000006,25,1
BOR100POL,52.276955555555546,17.073458333333335,124.9,2,100,29985.5,43.0,142.8,0.429,46,5
BRAZ00BRA,-15.947400000000004,-47.87780000000001,1106.0413,1,100,30401.4,42.72,159.5,0.7529999999999999,14,2
BREW00USA,48.131524027777786,-119.68263352777778,238.6273,2,100,30945.2,43.13,97.4,0.389,3,4
BRMG00DEU,47.907738888888886,7.632877777777777,261.6,11,100,33069.9,45.239999999999995,95.1,0.31599999999999995,1,9
BRST00FRA,48.38049722222222,-4.496600000000002,65.5,3,100,29681.6,43.39999999999999,86.9,0.34099999999999997,95,3
BRUX00BEL,50.7980638888889,4.358563888888889,158.3,4,100,33452.5,42.18,99.4,0.30300000000000005,38,2
BSHM00ISR,32.77900000000001,35.02,225.1,4,100,30210.2,42.919999999999995,117.1,0.35900000000000004,49,2
BZR200ITA,46.49578611111111,11.338236111111112,331.2,11,100,22756.5,49.11,23.5,0.039999999999999994,1,3
CAS100ATA,-66.28339999999999,110.51969999999996,22.6,1,90,35006.77777777778,43.4,55.55555555555556,0.41555555555555557,90,1
CCJ200JPN,27.06753055555556,142.19502777777782,104.214,2,100,25455.2,42.14,68.0,0.30700000000000005,52,1
CEBR00ESP,40.45343055555555,-4.367852777777777,775.8,11,100,30086.8,42.83999999999999,177.1,0.382,15,7
CEDU00AUS,-31.86665833333333,133.80983611111114,144.7,4,100,31305.8,40.7,108.9,0.307,87,1
CHOF00JPN,35.67454444444444,139.53105694444446,93.9,11,100,27732.6,40.489999999999995,42.7,0.615,0,7
CHPG00BRA,-22.68227309555556,-45.00237560055554,566.25,3,100,27360.4,43.68,188.0,0.34299999999999997,14,3
CHPI00BRA,-22.68714444444445,-44.98515833333334,617.4176,2,100,32260.5,43.04,58.0,0.297,14,1
CHWK00CAN,49.156600000000005,-122.0084,170.0,11,100,26866.3,43.06,280.0,0.5600000000000002,3,10
CIBG00IDN,-6.490364786111113,106.84917348055558,169.1334,3,100,33412.5,41.73,132.8,0.317,19,1
CKIS00COK,-21.20093611111111,-159.80061666666668,18.4,1,100,29309.1,42.58,53.9,0.616,13,1
CKSV00TWN,22.99885277777777,120.22000833333334,59.6,5,100,27910.7,40.959999999999994,287.7,0.31199999999999994,97,1
CMUM00THA,18.760874999999995,98.93237777777776,308.962,5,100,27476.7,42.040000000000006,328.9,0.8009999999999999,41,3
COCO00AUS,-12.188338888888891,96.833975,-35.3,1,100,30191.5,40.3,62.1,0.302,96,1
CORD00ARG,-31.528435583333334,-64.47004825000002,747.0654,11,100,28733.8,44.190000000000005,35.1,0.429,2,3
CPVG00CPV,16.73206201138889,-22.934933037499995,94.089,2,100,33887.0,41.379999999999995,203.5,0.40700000000000003,54,1
CRO100VIR,17.756899469444445,-64.58431863333337,-31.4974,1,100,28107.5,43.92999999999999,110.4,0.348,42,1
CUSV00THA,13.73591388888889,100.53390833333331,76.06,5,100,27858.2,41.18,23.9,0.27599999999999997,41,1
CUT000AUS,-32.00388888888888,115.89480000000005,24.0,11,100,31548.1,40.989999999999995,201.1,0.752,4,7
CUUT00THA,13.735991199999996,100.53393481388886,74.296,11,100,33218.1,40.60000000000001,119.8,0.421,41,2
CYNE00GUF,4.822105555555556,-52.36541388888888,-23.0,11,100,33003.8,42.61,191.3,0.42800000000000005,9,3
CZTG00ATF,-46.431894444444445,51.85548055555555,202.8,2,100,28257.5,41.97,400.8,0.24699999999999997,89,1
DAE200KOR,36.399425,127.37448055555552,116.824,11,100,24652.0,39.51,258.0,0.373,67,4
DAEJ00KOR,36.39940000000001,127.37449999999998,117.037,1,100,25170.2,39.61,48.6,0.44400000000000006,67,3
DARW00AUS,-12.843697222222223,131.13274444444443,125.1,4,100,31428.0,38.83999999999999,210.3,0.5280000000000001,34,2
DAV100ATA,-68.57730000000001,77.97260000000001,44.5,4,100,36697.3,43.85,56.9,0.394,10,1
DGAR00GBR,-7.269684333333332,72.37024019444446,-64.7455,4,100,32856.7,40.68,104.7,0.386,74,1
DJIG00DJI,11.526287572222222,42.847064450000005,711.409,2,100,33886.0,41.75,49.2,0.23199999999999998,39,1
DLF100NLD,51.986019444444445,4.387458333333334,75.8,11,100,34127.0,43.8,45.9,0.4040000000000001,38,4
DRAO00CAN,49.3226,-119.625,542.0,1,100,28138.5,44.02,47.3,0.3330000000000001,3,1
DUBO00CAN,50.2588,-95.86619999999996,251.0,4,100,28852.0,44.379999999999995,98.4,0.48199999999999993,45,2
DUMG00ATA,-66.66516944444444,140.00219999999996,-3.38,11,100,32977.1,46.89999999999999,85.6,0.131,68,1
DYNG00GRC,38.07855277777777,23.93243333333334,510.6,2,100,30667.8,43.17,59.0,0.217,71,1
EBRE00ESP,40.82088611111111,0.49235,107.3,4,100,28621.9,47.989999999999995,116.7,0.347,95,5
ENAO00PRT,39.09120277777778,-28.02601111111112,91.6,11,100,31687.6,43.10000000000001,103.8,0.33399999999999996,36,2
FAA100PYF,-17.55531388888889,-149.6143,12.35,4,100,33378.0,43.480000000000004,175.5,0.541,64,2
FAIR00USA,64.97799833333332,-147.49923958333332,319.1771,1,100,30469.5,43.56,207.0,0.48600000000000004,22,2
FALK00FLK,-51.69365222222222,-57.87406736111111,50.8407,4,100,30929.9,42.7,210.4,0.48200000000000004,50,2
FFMJ00DEU,50.09058055555557,8.664969444444445,178.3,11,100,34140.3,45.09000000000001,83.4,0.337,38,6
FLIN00CAN,54.72560000000001,-101.978,320.0,4,100,30778.8,44.93,133.1,0.504,86,2
FTNA00WLF,-14.307803108333331,-178.12094565833328,84.859,2,100,26778.9,41.419999999999995,78.4,0.40599999999999997,32,1
GAMB00PYF,-23.130354714444444,-134.96482359388887,80.66,2,100,27601.9,43.55,124.5,0.36700000000000005,44,1
GAMG00KOR,35.59008055555556,127.919735511111,928.0,2,100,30996.9,42.989999999999995,45.0,0.251,67,1
GANP00SVK,49.03471388888888,20.322936111111115,746.0,4,100,29353.4,43.16000000000001,116.5,0.301,46,4
