,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,1I,39.7,20998.0,168.0,0.0,,,,,39.1,10891.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,42.1,28830.0,70.0,0.0,40.4,18603.0,132.0,0.0,,,,,,,,,,,,,,,,,,,,,41.3,30668.0,85.0,0.0,,,,,,,,,,,,,42.2,28178.0,17.0,0.0,41.8,27458.0,552.0,0.0,42.0,22765.0,37.0,0.0,41.0,21045.0,35.0,0.0,,,,,,,,,38.1,22610.0,148.0,0.0,39.1,14492.0,28.0,0.0,44.7,22574.0,17.0,0.0,,,,,,,,,,,,,42.8,29509.0,1.0,0.0,40.8,27162.0,9.0,0.0
C,7I,41.9,20554.0,84.0,0.0,42.8,7593.0,10.0,0.4,41.8,10875.0,17.0,0.0,45.3,25920.0,0.0,0.12,40.2,8832.0,55.0,0.49,41.0,14292.0,303.0,0.52,44.0,23034.0,16.0,0.15,46.3,22862.0,9.0,0.11,,,,,44.6,28768.0,106.0,0.0,43.6,18486.0,181.0,0.0,43.6,12157.0,33.0,0.35,45.5,3298.0,14.0,0.34,41.9,18196.0,32.0,0.25,42.0,6827.0,4.0,0.35,46.6,2588.0,10.0,0.26,43.9,30494.0,186.0,0.0,,,,,45.4,28702.0,16.0,0.23,45.1,6036.0,18.0,0.39,44.9,28112.0,46.0,0.0,44.3,27271.0,599.0,0.0,44.6,22719.0,56.0,0.0,42.8,20992.0,56.0,0.0,43.6,9960.0,11.0,0.33,45.3,7788.0,21.0,0.28,42.3,22434.0,278.0,0.0,42.1,14462.0,39.0,0.0,45.8,22394.0,16.0,0.0,43.7,7387.0,10.0,0.34,41.7,19168.0,66.0,0.46,41.7,12512.0,7.0,0.2,45.3,29506.0,3.0,0.0,43.8,27250.0,15.0,0.0
E,1X,42.5,5032.0,5.0,0.25,,,,,43.9,6021.0,3.0,0.3,,,,,45.4,8605.0,9.0,0.35,44.7,9160.0,17.0,0.25,,,,,,,,,,,,,42.4,3613.0,8.0,0.36,43.9,5178.0,69.0,0.53,,,,,,,,,,,,,,,,,,,,,42.2,4952.0,20.0,0.37,,,,,,,,,,,,,42.9,3387.0,6.0,0.35,44.7,6490.0,8.0,0.27,45.0,5629.0,6.0,0.5,44.9,5581.0,11.0,0.5,,,,,,,,,42.2,5764.0,3.0,0.38,43.1,5388.0,35.0,0.54,,,,,,,,,46.0,7400.0,11.0,0.38,,,,,42.1,3676.0,1.0,0.29,,,,
E,5X,41.2,3652.0,5.0,0.22,,,,,45.1,5352.0,3.0,0.26,,,,,45.2,7621.0,9.0,0.35,44.8,8068.0,17.0,0.33,,,,,,,,,,,,,42.1,2309.0,8.0,0.3,45.0,4559.0,64.0,0.43,,,,,,,,,,,,,,,,,,,,,42.8,3716.0,19.0,0.31,,,,,,,,,,,,,42.9,2303.0,8.0,0.34,47.3,5223.0,3.0,0.25,47.0,4827.0,7.0,0.45,45.9,4626.0,12.0,0.45,,,,,,,,,45.5,4933.0,6.0,0.35,44.9,4600.0,37.0,0.55,,,,,,,,,46.0,6713.0,11.0,0.38,,,,,41.8,2261.0,5.0,0.23,,,,
E,7X,41.4,3653.0,4.0,0.0,,,,,44.6,5352.0,3.0,0.0,,,,,44.9,7618.0,11.0,0.0,45.1,8065.0,18.0,0.0,,,,,,,,,,,,,42.1,2309.0,8.0,0.0,45.2,4557.0,62.0,0.0,,,,,,,,,,,,,,,,,,,,,42.5,3716.0,19.0,0.0,,,,,,,,,,,,,42.7,2303.0,8.0,0.0,46.4,5223.0,3.0,0.0,46.6,4832.0,7.0,0.0,45.5,4633.0,9.0,0.0,,,,,,,,,44.2,4933.0,6.0,0.0,44.4,4596.0,37.0,0.0,,,,,,,,,45.1,6713.0,11.0,0.0,,,,,42.8,2261.0,5.0,0.0,,,,
E,8X,45.7,3652.0,5.0,0.0,,,,,50.6,5351.0,3.0,0.0,,,,,50.8,7587.0,10.0,0.0,50.9,8069.0,17.0,0.0,,,,,,,,,,,,,46.6,2309.0,8.0,0.0,49.5,4549.0,60.0,0.0,,,,,,,,,,,,,,,,,,,,,48.5,3716.0,19.0,0.0,,,,,,,,,,,,,47.4,2303.0,8.0,0.0,51.3,5208.0,2.0,0.0,52.5,4830.0,8.0,0.0,50.6,4588.0,9.0,0.0,,,,,,,,,50.3,4933.0,6.0,0.0,50.4,4576.0,37.0,0.0,,,,,,,,,51.2,6713.0,11.0,0.0,,,,,46.9,2261.0,5.0,0.0,,,,
G,1C,44.4,34980.0,57.0,0.42,44.5,27930.0,95.0,0.4,44.6,29343.0,37.0,0.54,42.0,32830.0,192.0,0.23,44.9,29126.0,77.0,0.59,44.6,30646.0,102.0,0.38,47.2,30348.0,86.0,0.3,47.7,29009.0,41.0,0.31,47.6,34094.0,67.0,0.32,43.7,31834.0,165.0,0.53,43.8,29191.0,371.0,0.73,44.4,33601.0,229.0,0.44,43.3,32996.0,154.0,0.36,42.5,33496.0,150.0,0.32,45.4,30330.0,114.0,0.4,45.7,30172.0,57.0,0.33,43.2,31521.0,146.0,0.65,47.3,30644.0,122.0,0.2,44.1,27502.0,107.0,0.42,48.0,31330.0,86.0,0.24,44.7,27743.0,144.0,0.57,43.1,33198.0,138.0,0.58,43.3,29537.0,245.0,0.92,44.1,28873.0,222.0,0.83,44.8,28353.0,68.0,0.4,47.9,33158.0,55.0,0.28,41.3,30020.0,113.0,0.72,43.1,28305.0,322.0,0.81,45.3,31495.0,52.0,0.34,44.9,26187.0,114.0,0.39,45.2,28527.0,93.0,0.6,47.9,30346.0,66.0,0.25,43.5,32241.0,110.0,0.58,41.4,29617.0,55.0,0.24
G,2W,29.7,34121.0,114.0,0.35,31.8,27761.0,80.0,0.29,30.8,28499.0,66.0,0.35,30.8,31607.0,63.0,0.16,30.9,27831.0,79.0,0.43,30.8,29940.0,121.0,0.41,39.1,30220.0,120.0,0.24,40.8,28953.0,52.0,0.24,41.1,34030.0,91.0,0.27,30.2,30393.0,193.0,0.38,30.1,27604.0,258.0,0.41,31.1,33354.0,203.0,0.29,27.7,32532.0,116.0,0.29,27.4,33072.0,93.0,0.33,32.2,30068.0,101.0,0.24,32.1,30097.0,54.0,0.2,29.0,30003.0,283.0,0.41,40.9,30476.0,146.0,0.19,31.4,27359.0,87.0,0.28,42.0,31285.0,88.0,0.19,32.0,26224.0,101.0,0.4,29.1,31643.0,99.0,0.38,30.2,27140.0,154.0,0.5,30.5,26925.0,129.0,0.49,32.0,28262.0,60.0,0.25,41.4,33110.0,71.0,0.22,26.8,27105.0,104.0,0.42,30.1,25255.0,279.0,0.54,32.3,31176.0,50.0,0.17,32.8,25886.0,77.0,0.29,30.7,27624.0,87.0,0.42,41.9,30150.0,71.0,0.2,29.8,31367.0,229.0,0.39,25.7,29296.0,27.0,0.13
G,2X,43.3,20306.0,59.0,0.36,,,,,43.5,17150.0,48.0,0.45,,,,,43.5,16380.0,56.0,0.48,43.0,17708.0,91.0,0.39,,,,,,,,,,,,,43.3,18142.0,145.0,0.42,43.6,16067.0,257.0,0.57,,,,,,,,,,,,,,,,,,,,,42.7,18254.0,144.0,0.49,,,,,,,,,,,,,44.2,15805.0,132.0,0.49,42.7,19294.0,146.0,0.47,43.4,16936.0,176.0,0.65,43.1,16453.0,163.0,0.66,,,,,,,,,42.4,17190.0,118.0,0.57,42.4,16229.0,323.0,0.71,,,,,,,,,,,,,,,,,43.5,18448.0,131.0,0.46,,,,
