,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,1I,39.7,21017.0,193.0,0.0,,,,,39.9,12015.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,32099.0,7.0,0.0,40.5,21073.0,61.0,0.0,,,,,,,,,,,,,,,,,,,,,42.4,24291.0,17.0,0.0,41.3,31077.0,70.0,0.0,,,,,,,,,,,,,42.1,28336.0,13.0,0.0,41.4,27940.0,456.0,0.0,41.7,23340.0,46.0,0.0,41.1,21843.0,38.0,0.0,,,,,,,,,40.1,15944.0,70.0,0.0,38.8,23305.0,57.0,0.0,39.6,15407.0,19.0,0.0,44.8,22501.0,11.0,0.0,,,,,,,,,,,,,42.7,32129.0,7.0,0.0,40.8,28424.0,23.0,0.0
C,7I,41.9,20513.0,104.0,0.0,41.7,7098.0,7.0,0.45,42.4,12000.0,15.0,0.0,45.8,29334.0,1.0,0.11,41.6,28995.0,24.0,0.22,39.3,8301.0,25.0,0.47,40.9,12906.0,326.0,0.43,43.5,23029.0,14.0,0.15,46.5,23040.0,7.0,0.1,,,,,44.7,32081.0,22.0,0.0,43.6,21014.0,98.0,0.0,42.3,11487.0,40.0,0.33,45.6,3325.0,4.0,0.28,41.6,17046.0,28.0,0.25,40.4,6221.0,16.0,0.44,46.8,3091.0,3.0,0.24,44.9,24360.0,12.0,0.0,44.0,31016.0,104.0,0.0,,,,,45.4,29220.0,29.0,0.23,45.3,6332.0,17.0,0.33,45.0,28309.0,24.0,0.0,44.1,27736.0,543.0,0.0,44.3,23273.0,70.0,0.0,43.0,21794.0,59.0,0.0,42.9,9294.0,14.0,0.35,45.1,7347.0,20.0,0.26,42.7,15893.0,79.0,0.0,42.8,23230.0,107.0,0.0,42.6,15382.0,32.0,0.0,46.1,21748.0,14.0,0.0,42.5,6812.0,11.0,0.37,42.1,19651.0,40.0,0.43,40.5,12963.0,29.0,0.31,45.6,32125.0,8.0,0.0,44.0,28551.0,27.0,0.0
E,1X,42.4,4975.0,11.0,0.28,,,,,43.9,7308.0,5.0,0.31,,,,,43.8,8855.0,4.0,0.2,45.5,7964.0,9.0,0.36,44.2,8044.0,18.0,0.29,,,,,,,,,,,,,45.3,6499.0,7.0,0.26,44.0,6326.0,19.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,44.8,6440.0,11.0,0.3,,,,,,,,,,,,,46.1,5858.0,4.0,0.3,43.5,6384.0,17.0,0.34,42.2,6512.0,18.0,0.7,43.9,6399.0,18.0,0.51,,,,,,,,,43.5,7276.0,16.0,0.31,41.7,6189.0,8.0,0.41,42.8,6448.0,27.0,0.52,,,,,,,,,46.1,8512.0,7.0,0.3,,,,,45.1,6549.0,3.0,0.23,,,,
E,5X,41.2,3697.0,9.0,0.27,,,,,44.8,6661.0,5.0,0.26,,,,,44.4,7802.0,3.0,0.25,45.3,6811.0,9.0,0.36,44.9,7052.0,22.0,0.4,,,,,,,,,,,,,46.4,5654.0,3.0,0.24,45.2,6054.0,17.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,46.1,5608.0,11.0,0.24,,,,,,,,,,,,,47.7,5027.0,5.0,0.28,45.2,5934.0,18.0,0.3,43.9,6122.0,17.0,0.63,44.8,5885.0,19.0,0.46,,,,,,,,,45.8,6713.0,14.0,0.28,44.7,5763.0,8.0,0.36,44.7,6112.0,27.0,0.5,,,,,,,,,46.1,8068.0,7.0,0.31,,,,,45.9,5576.0,5.0,0.21,,,,
E,7X,41.4,3697.0,9.0,0.0,,,,,44.3,6661.0,5.0,0.0,,,,,43.4,7802.0,3.0,0.0,45.1,6808.0,8.0,0.0,45.3,7053.0,21.0,0.0,,,,,,,,,,,,,46.3,5654.0,3.0,0.0,45.2,6048.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,45.8,5608.0,11.0,0.0,,,,,,,,,,,,,47.3,5027.0,5.0,0.0,44.1,5933.0,18.0,0.0,43.3,6122.0,17.0,0.0,44.1,5889.0,17.0,0.0,,,,,,,,,44.6,6714.0,15.0,0.0,43.3,5763.0,8.0,0.0,43.8,6106.0,31.0,0.0,,,,,,,,,45.1,8068.0,7.0,0.0,,,,,46.9,5576.0,5.0,0.0,,,,
E,8X,45.7,3697.0,9.0,0.0,,,,,50.4,6595.0,5.0,0.0,,,,,49.6,7804.0,3.0,0.0,50.9,6811.0,9.0,0.0,51.0,7053.0,21.0,0.0,,,,,,,,,,,,,51.0,5629.0,3.0,0.0,49.9,5978.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,51.9,5607.0,11.0,0.0,,,,,,,,,,,,,52.2,5027.0,5.0,0.0,49.2,5883.0,12.0,0.0,50.0,5493.0,14.0,0.0,49.9,5325.0,14.0,0.0,,,,,,,,,51.2,6712.0,14.0,0.0,49.9,5328.0,8.0,0.0,50.4,5947.0,26.0,0.0,,,,,,,,,51.4,8069.0,7.0,0.0,,,,,51.0,5576.0,5.0,0.0,,,,
G,1C,44.3,34960.0,57.0,0.42,44.5,27938.0,97.0,0.4,44.6,29378.0,37.0,0.51,42.1,32838.0,179.0,0.22,42.7,33151.0,126.0,0.41,44.9,29096.0,75.0,0.61,44.3,30567.0,94.0,0.42,47.3,30142.0,79.0,0.31,47.8,28772.0,44.0,0.32,47.7,33300.0,60.0,0.27,43.7,32187.0,126.0,0.52,43.8,31183.0,228.0,0.69,44.1,33115.0,186.0,0.41,43.3,32977.0,138.0,0.33,42.3,33474.0,121.0,0.32,45.3,30353.0,91.0,0.41,45.7,30152.0,55.0,0.32,43.9,28135.0,76.0,0.32,43.3,31675.0,131.0,0.63,47.4,30354.0,134.0,0.24,44.2,27477.0,95.0,0.39,48.0,31300.0,74.0,0.22,44.7,27768.0,150.0,0.56,43.1,33201.0,138.0,0.58,43.4,29526.0,234.0,0.9,44.1,28804.0,245.0,0.83,44.8,28107.0,79.0,0.35,48.0,32772.0,59.0,0.28,43.7,32215.0,194.0,0.66,41.8,30179.0,105.0,0.69,43.2,28426.0,297.0,0.78,45.4,31446.0,52.0,0.35,44.8,26160.0,110.0,0.42,45.1,28526.0,90.0,0.6,47.9,29853.0,69.0,0.28,43.4,32244.0,89.0,0.57,41.6,29679.0,63.0,0.22
G,2W,29.5,34102.0,124.0,0.36,31.6,27740.0,75.0,0.27,30.7,28501.0,56.0,0.35,30.9,31632.0,69.0,0.15,28.8,32375.0,285.0,0.4,31.0,27696.0,89.0,0.42,30.6,29749.0,131.0,0.45,38.9,30011.0,117.0,0.25,40.8,28723.0,56.0,0.23,41.3,33254.0,72.0,0.23,30.2,30669.0,142.0,0.37,30.2,29645.0,133.0,0.41,30.0,32819.0,159.0,0.29,27.6,32534.0,91.0,0.26,27.1,33102.0,71.0,0.32,32.2,30130.0,81.0,0.23,32.1,30071.0,48.0,0.16,31.0,28012.0,64.0,0.19,29.3,30293.0,247.0,0.42,41.0,30200.0,151.0,0.2,31.6,27363.0,81.0,0.25,42.0,31260.0,77.0,0.19,32.1,26332.0,111.0,0.4,29.0,31645.0,92.0,0.37,30.1,27197.0,138.0,0.51,30.6,26846.0,121.0,0.5,32.0,27995.0,72.0,0.22,41.6,32740.0,62.0,0.19,30.0,30635.0,246.0,0.41,27.4,27715.0,93.0,0.42,30.1,25486.0,268.0,0.54,32.5,31153.0,53.0,0.17,32.5,25855.0,82.0,0.32,30.7,27617.0,90.0,0.42,41.8,29789.0,81.0,0.2,29.7,31403.0,172.0,0.4,26.0,29335.0,30.0,0.14
G,2X,43.3,20302.0,54.0,0.36,,,,,43.4,17159.0,51.0,0.44,,,,,41.8,19766.0,125.0,0.36,43.6,16350.0,59.0,0.47,43.0,17653.0,85.0,0.44,,,,,,,,,,,,,43.3,18370.0,117.0,0.42,43.7,17388.0,173.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,42.9,18385.0,107.0,0.49,,,,,,,,,,,,,44.3,15875.0,131.0,0.49,42.7,19275.0,152.0,0.5,43.4,16929.0,179.0,0.63,43.1,16417.0,174.0,0.65,,,,,,,,,42.8,19083.0,160.0,0.52,42.7,17330.0,100.0,0.52,42.4,16321.0,293.0,0.68,,,,,,,,,,,,,,,,,43.5,18460.0,100.0,0.46,,,,
