,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,39.6,11861.0,10.0,0.44,,,,,39.6,8411.0,33.0,0.54,,,,,43.7,29119.0,11.0,0.18,41.4,21597.0,1116.0,1.14,39.6,8216.0,21.0,0.56,39.4,13669.0,186.0,0.5,45.7,22920.0,20.0,0.15,46.0,22919.0,17.0,0.13,,,,,,,,,,,,,43.1,12316.0,56.0,0.47,42.2,2158.0,24.0,0.59,,,,,,,,,40.6,22212.0,39.0,0.4,42.9,6862.0,11.0,0.45,,,,,46.7,2120.0,2.0,0.35,,,,,,,,,,,,,,,,,44.0,33120.0,31.0,0.31,40.9,5195.0,33.0,0.47,,,,,,,,,,,,,,,,,41.2,11431.0,17.0,0.45,41.6,7120.0,21.0,0.3,,,,,,,,,,,,,,,,,,,,,40.3,8206.0,25.0,0.48,40.4,19993.0,33.0,0.55,42.2,12589.0,14.0,0.3,,,,,,,,
C,7I,42.9,9878.0,9.0,0.22,41.7,23684.0,151.0,0.0,42.5,7026.0,4.0,0.39,42.2,11608.0,4.0,0.0,45.8,29145.0,15.0,0.11,41.0,19558.0,1088.0,0.94,40.0,8175.0,35.0,0.42,41.8,13568.0,233.0,0.37,44.1,22918.0,21.0,0.14,46.5,22918.0,17.0,0.11,,,,,44.8,31608.0,32.0,0.0,43.6,20780.0,63.0,0.0,42.8,10675.0,31.0,0.37,44.1,2181.0,22.0,0.51,42.6,20315.0,244.0,0.0,43.6,23024.0,43.0,0.0,42.0,17135.0,25.0,0.24,40.9,6153.0,4.0,0.4,44.5,25950.0,460.0,0.0,46.7,2119.0,3.0,0.28,45.1,24405.0,15.0,0.0,43.9,30765.0,88.0,0.0,,,,,41.8,15744.0,166.0,0.0,45.5,28555.0,13.0,0.27,44.3,5191.0,34.0,0.38,44.9,28011.0,34.0,0.0,44.3,27620.0,490.0,0.0,44.5,23021.0,73.0,0.0,42.8,22006.0,92.0,0.0,43.3,9421.0,11.0,0.31,44.9,7116.0,23.0,0.27,42.4,16012.0,103.0,0.0,42.8,23577.0,104.0,0.0,42.2,15297.0,37.0,0.0,45.9,23284.0,21.0,0.0,42.4,18700.0,340.0,0.0,43.3,7002.0,10.0,0.34,41.9,19969.0,39.0,0.42,40.8,12575.0,26.0,0.32,45.5,31825.0,6.0,0.0,43.9,28452.0,22.0,0.0
E,1C,42.3,9445.0,18.0,0.17,,,,,43.9,8621.0,13.0,0.23,,,,,42.1,1562.0,1.0,0.11,,,,,,,,,,,,,49.1,4809.0,32.0,0.4,49.5,4450.0,16.0,0.31,49.6,9458.0,17.0,0.31,,,,,,,,,43.6,9359.0,40.0,0.32,42.0,10010.0,34.0,0.23,,,,,42.2,8739.0,20.0,0.35,41.0,10537.0,35.0,0.22,44.6,9449.0,33.0,0.31,,,,,45.4,8665.0,8.0,0.2,43.2,7668.0,29.0,0.1,,,,,49.2,9637.0,14.0,0.27,,,,,43.2,8115.0,39.0,0.35,49.9,8635.0,33.0,0.31,,,,,,,,,,,,,,,,,44.0,8530.0,19.0,0.26,49.9,8801.0,12.0,0.24,,,,,,,,,,,,,43.0,1561.0,2.0,0.3,,,,,44.4,7866.0,32.0,0.25,,,,,49.6,8434.0,19.0,0.31,,,,,39.3,8604.0,18.0,0.08
E,5Q,44.4,8750.0,12.0,0.14,,,,,44.5,7878.0,8.0,0.22,,,,,41.7,1552.0,2.0,0.08,,,,,,,,,,,,,46.1,4784.0,37.0,0.43,48.3,4444.0,17.0,0.28,48.4,8964.0,18.0,0.33,,,,,,,,,43.7,8824.0,19.0,0.28,42.1,9099.0,38.0,0.21,,,,,43.4,7971.0,12.0,0.27,41.6,9107.0,22.0,0.16,43.3,8591.0,26.0,0.21,,,,,42.7,8069.0,11.0,0.15,28.8,503.0,32.0,0.19,,,,,47.5,8555.0,22.0,0.25,,,,,43.1,7084.0,29.0,0.29,48.4,8613.0,39.0,0.33,,,,,,,,,,,,,,,,,44.6,7801.0,17.0,0.2,48.4,8663.0,12.0,0.19,,,,,,,,,,,,,41.1,1545.0,3.0,0.18,,,,,45.1,7174.0,18.0,0.26,,,,,48.1,8261.0,17.0,0.25,,,,,33.3,2900.0,72.0,0.16
E,7Q,44.6,8750.0,13.0,0.0,,,,,44.4,7881.0,7.0,0.0,,,,,43.4,1239.0,0.0,0.0,,,,,,,,,,,,,45.5,4718.0,40.0,0.0,48.0,4444.0,17.0,0.0,49.8,8963.0,17.0,0.0,,,,,,,,,43.7,8791.0,18.0,0.0,42.4,9084.0,40.0,0.0,,,,,43.2,7963.0,11.0,0.0,42.4,9146.0,27.0,0.0,43.6,8614.0,34.0,0.0,,,,,43.6,8074.0,14.0,0.0,44.0,6761.0,18.0,0.0,,,,,48.9,8585.0,10.0,0.0,,,,,43.6,7131.0,23.0,0.0,49.8,8623.0,34.0,0.0,,,,,,,,,,,,,,,,,44.7,7803.0,15.0,0.0,49.7,8663.0,12.0,0.0,,,,,,,,,,,,,40.6,672.0,6.0,0.0,,,,,45.3,7179.0,19.0,0.0,,,,,47.6,8259.0,19.0,0.0,,,,,41.8,7592.0,14.0,0.0
E,8Q,47.4,8788.0,19.0,0.0,,,,,47.4,7907.0,8.0,0.0,,,,,39.8,148.0,0.0,0.0,,,,,,,,,,,,,41.8,4766.0,22.0,0.0,44.7,4448.0,17.0,0.0,45.7,8935.0,38.0,0.0,,,,,,,,,46.6,8863.0,15.0,0.0,45.0,9210.0,16.0,0.0,,,,,46.8,8019.0,10.0,0.0,44.9,9173.0,10.0,0.0,46.3,8657.0,21.0,0.0,,,,,46.1,8090.0,6.0,0.0,47.0,1242.0,1.0,0.0,,,,,44.4,8588.0,9.0,0.0,,,,,46.2,7173.0,10.0,0.0,45.6,8623.0,33.0,0.0,,,,,,,,,,,,,,,,,47.5,7843.0,11.0,0.0,45.6,8660.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,48.0,7260.0,22.0,0.0,,,,,44.5,8267.0,18.0,0.0,,,,,45.0,3731.0,3.0,0.0
G,1C,43.1,30795.0,77.0,0.26,44.5,33868.0,63.0,0.43,44.5,27293.0,102.0,0.39,44.7,28364.0,41.0,0.53,42.1,31877.0,186.0,0.23,42.9,32037.0,68.0,0.36,44.9,28274.0,75.0,0.6,44.6,29686.0,89.0,0.4,47.5,29449.0,77.0,0.31,47.9,28104.0,37.0,0.3,47.7,33113.0,64.0,0.3,43.7,31163.0,148.0,0.57,43.9,30307.0,162.0,0.71,44.2,31746.0,195.0,0.43,43.3,31736.0,148.0,0.36,43.8,29667.0,273.0,0.65,42.8,31740.0,132.0,0.46,42.9,30569.0,109.0,0.3,45.3,29564.0,72.0,0.38,43.8,31333.0,118.0,0.47,45.8,29252.0,47.0,0.31,44.0,27297.0,79.0,0.33,43.1,30696.0,130.0,0.65,47.5,29725.0,126.0,0.2,44.0,29908.0,169.0,0.59,44.2,26494.0,107.0,0.42,48.0,30796.0,83.0,0.22,44.6,27056.0,136.0,0.57,43.3,31968.0,126.0,0.57,43.4,28597.0,261.0,0.88,44.1,28138.0,214.0,0.84,44.8,27566.0,78.0,0.35,47.8,32682.0,63.0,0.26,43.8,31067.0,207.0,0.64,41.9,29290.0,119.0,0.71,43.2,27398.0,320.0,0.81,45.3,30860.0,70.0,0.34,43.6,31353.0,119.0,0.68,44.9,25385.0,114.0,0.4,45.1,27766.0,88.0,0.58,47.9,29545.0,76.0,0.29,43.4,31174.0,112.0,0.6,41.4,28676.0,68.0,0.23
G,1W,29.7,30693.0,66.0,0.27,,,,,31.5,27079.0,81.0,0.39,,,,,30.6,30794.0,69.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,31451.0,155.0,0.44,27.8,31254.0,113.0,0.36,,,,,28.8,31496.0,102.0,0.46,28.0,30246.0,78.0,0.31,32.1,29349.0,73.0,0.38,,,,,32.2,29170.0,39.0,0.31,31.0,27161.0,67.0,0.33,,,,,,,,,,,,,31.5,26343.0,90.0,0.43,,,,,,,,,,,,,,,,,,,,,31.9,27469.0,70.0,0.35,,,,,,,,,,,,,,,,,32.3,30507.0,64.0,0.34,,,,,32.6,25109.0,73.0,0.4,,,,,,,,,,,,,25.6,28294.0,38.0,0.23
G,2L,41.3,18190.0,65.0,0.29,,,,,42.1,15594.0,65.0,0.38,,,,,41.9,16609.0,104.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,18842.0,142.0,0.44,39.5,18762.0,150.0,0.4,,,,,41.0,18505.0,94.0,0.45,40.1,18341.0,82.0,0.35,41.6,16847.0,76.0,0.32,,,,,41.1,17115.0,59.0,0.32,41.1,16603.0,49.0,0.37,,,,,,,,,,,,,41.5,16069.0,87.0,0.48,,,,,,,,,,,,,,,,,,,,,42.1,15800.0,77.0,0.37,,,,,,,,,,,,,,,,,41.1,18053.0,40.0,0.35,,,,,42.6,14629.0,72.0,0.4,,,,,,,,,,,,,39.3,16989.0,42.0,0.28
