,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,ALIC00AUS,ALIC00AUS,ALIC00AUS,ALIC00AUS,AREG00PER,AREG00PER,AREG00PER,AREG00PER,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HARB00ZAF,HARB00ZAF,HARB00ZAF,HARB00ZAF,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MAYG00MYT,MAYG00MYT,MAYG00MYT,MAYG00MYT,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,METG00FIN,METG00FIN,METG00FIN,METG00FIN,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REUN00REU,REUN00REU,REUN00REU,REUN00REU,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,UNBN00CAN,UNBN00CAN,UNBN00CAN,UNBN00CAN,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,41.3,2740.0,68.0,0.64,,,,,44.5,2126.0,5.0,0.38,39.4,6078.0,49.0,0.58,39.8,8818.0,29.0,0.44,39.8,12331.0,9.0,0.46,,,,,39.9,8742.0,42.0,0.52,44.0,2569.0,46.0,0.5,42.9,23040.0,17.0,0.17,,,,,43.8,28800.0,0.0,0.17,41.2,26504.0,1863.0,1.62,39.7,22568.0,73.0,0.39,39.4,14945.0,75.0,0.41,39.8,8609.0,29.0,0.61,37.4,15823.0,32.0,0.4,42.5,2611.0,18.0,0.46,38.8,13355.0,204.0,0.54,40.8,10617.0,112.0,0.23,34.5,4095.0,176.0,0.48,45.7,23039.0,9.0,0.11,46.1,23040.0,11.0,0.13,,,,,41.8,28957.0,12.0,0.28,,,,,,,,,43.6,11771.0,40.0,0.43,42.8,2800.0,10.0,0.32,44.1,2629.0,8.0,0.35,41.6,21723.0,87.0,0.26,,,,,43.0,2790.0,32.0,0.53,,,,,40.4,23682.0,80.0,0.43,39.0,6904.0,213.0,0.86,43.3,7236.0,5.0,0.43,39.8,25203.0,206.0,0.5,,,,,40.5,14192.0,99.0,0.36,45.9,2225.0,8.0,0.36,,,,,,,,,,,,,,,,,43.7,33549.0,42.0,0.29,,,,,,,,,,,,,,,,,41.3,11916.0,16.0,0.48,41.0,17772.0,182.0,0.42,41.7,7481.0,17.0,0.27,40.2,5155.0,17.0,0.43,,,,,,,,,46.4,2503.0,3.0,0.36,40.1,8220.0,434.0,0.72,40.0,10009.0,8.0,0.42,40.4,11449.0,9.0,0.4,,,,,,,,,,,,,,,,,40.5,8377.0,18.0,0.5,40.3,19390.0,38.0,0.59,42.2,13597.0,11.0,0.32,,,,,44.1,8949.0,19.0,0.46
C,7I,47.3,2730.0,71.0,0.75,48.5,22684.0,17.0,0.0,46.0,2123.0,7.0,0.31,40.6,6032.0,75.0,0.44,40.2,8775.0,54.0,0.38,43.3,10371.0,7.0,0.23,41.7,24080.0,167.0,0.0,42.5,7493.0,22.0,0.41,45.5,2510.0,60.0,0.44,48.3,23040.0,17.0,0.13,42.0,11200.0,25.0,0.0,45.7,28800.0,0.0,0.12,40.8,22182.0,1827.0,1.64,40.3,22412.0,158.0,0.29,42.3,14886.0,105.0,0.29,40.1,8547.0,42.0,0.45,41.5,15720.0,95.0,0.24,44.2,2556.0,45.0,0.33,40.6,13271.0,213.0,0.44,40.4,9583.0,25.0,0.26,29.9,2668.0,103.0,0.35,44.8,23039.0,9.0,0.1,46.5,23039.0,11.0,0.11,,,,,44.4,28917.0,29.0,0.21,44.5,32212.0,11.0,0.0,43.8,20590.0,86.0,0.0,44.5,9431.0,27.0,0.33,46.8,2800.0,10.0,0.38,45.1,2690.0,13.0,0.34,46.2,21653.0,124.0,0.26,42.7,19914.0,214.0,0.0,44.0,2734.0,62.0,0.5,43.7,22749.0,45.0,0.0,41.9,18377.0,35.0,0.27,45.2,6903.0,214.0,0.98,41.7,6533.0,2.0,0.37,42.4,25020.0,276.0,0.38,44.3,26560.0,304.0,0.0,42.0,13787.0,104.0,0.29,45.9,2226.0,8.0,0.32,45.0,24661.0,11.0,0.0,43.7,31482.0,70.0,0.0,,,,,41.7,15167.0,155.0,0.0,45.3,28985.0,15.0,0.24,44.8,28677.0,34.0,0.0,44.2,27325.0,629.0,0.0,44.5,23149.0,42.0,0.0,42.8,21570.0,80.0,0.0,43.6,9944.0,12.0,0.32,44.5,17616.0,247.0,0.33,45.2,7477.0,19.0,0.26,38.9,5120.0,33.0,0.35,42.5,15117.0,66.0,0.0,42.7,23264.0,130.0,0.0,48.1,2511.0,5.0,0.17,43.6,8218.0,434.0,0.71,41.6,9985.0,16.0,0.32,42.5,9572.0,9.0,0.26,42.1,14905.0,38.0,0.0,45.8,20826.0,23.0,0.0,41.9,19267.0,423.0,0.0,,,,,43.7,7162.0,9.0,0.33,41.9,19351.0,59.0,0.45,40.9,13578.0,28.0,0.35,45.3,32456.0,5.0,0.0,44.3,7444.0,16.0,0.25
E,1C,46.9,6958.0,29.0,0.37,49.5,8362.0,17.0,0.34,,,,,,,,,,,,,42.0,8927.0,16.0,0.18,,,,,43.1,8191.0,39.0,0.32,,,,,47.9,4078.0,2.0,0.34,,,,,43.4,3770.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,7122.0,18.0,0.19,,,,,49.4,7610.0,15.0,0.28,49.8,7165.0,7.0,0.28,49.5,9735.0,25.0,0.32,,,,,,,,,,,,,43.0,9132.0,46.0,0.3,48.7,7724.0,26.0,0.41,42.5,10189.0,57.0,0.22,49.9,7395.0,43.0,0.26,,,,,,,,,41.7,11392.0,31.0,0.33,43.3,9251.0,9.0,0.2,48.3,6322.0,19.0,0.23,45.0,8962.0,34.0,0.34,,,,,,,,,,,,,44.9,11156.0,17.0,0.2,42.6,9904.0,27.0,0.1,,,,,49.8,8057.0,7.0,0.22,,,,,44.1,8866.0,24.0,0.24,,,,,,,,,,,,,,,,,44.0,8061.0,18.0,0.27,,,,,49.7,8903.0,19.0,0.27,,,,,,,,,,,,,44.7,8684.0,12.0,0.2,49.0,7454.0,24.0,0.33,,,,,42.9,9036.0,19.0,0.19,,,,,43.0,5246.0,1.0,0.24,,,,,48.4,6538.0,9.0,0.22,43.5,7672.0,50.0,0.32,,,,,49.9,7696.0,11.0,0.27,,,,,45.0,10737.0,42.0,0.19
E,5Q,46.8,6934.0,28.0,0.49,47.8,8321.0,24.0,0.31,,,,,,,,,,,,,44.2,8362.0,16.0,0.15,,,,,43.5,7569.0,29.0,0.3,,,,,45.6,3960.0,2.0,0.36,,,,,42.5,3774.0,5.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,7099.0,23.0,0.22,,,,,46.7,7391.0,20.0,0.3,48.5,7017.0,8.0,0.25,48.2,9017.0,33.0,0.31,,,,,,,,,,,,,43.5,8568.0,26.0,0.28,47.3,7510.0,28.0,0.43,42.3,8943.0,48.0,0.21,48.1,7361.0,53.0,0.29,,,,,,,,,43.3,10568.0,30.0,0.27,43.4,8943.0,12.0,0.16,48.2,6310.0,21.0,0.29,43.8,7940.0,47.0,0.25,,,,,,,,,,,,,42.2,9736.0,21.0,0.16,29.4,1555.0,39.0,0.2,,,,,48.2,7650.0,15.0,0.22,,,,,44.3,8725.0,11.0,0.18,,,,,,,,,,,,,,,,,44.5,7535.0,10.0,0.24,,,,,48.1,8660.0,20.0,0.2,,,,,,,,,,,,,44.6,7627.0,16.0,0.16,47.2,7429.0,27.0,0.3,,,,,43.9,8384.0,14.0,0.16,,,,,42.6,4222.0,1.0,0.17,,,,,48.1,6533.0,10.0,0.31,44.2,7097.0,37.0,0.31,,,,,48.2,7633.0,14.0,0.25,,,,,43.4,9505.0,37.0,0.15
E,7Q,49.4,6950.0,28.0,0.0,50.0,8338.0,22.0,0.0,,,,,,,,,,,,,44.4,8365.0,17.0,0.0,,,,,43.4,7571.0,39.0,0.0,,,,,47.7,3970.0,0.0,0.0,,,,,42.3,2746.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,7100.0,23.0,0.0,,,,,46.4,7487.0,21.0,0.0,48.2,7095.0,9.0,0.0,49.6,9027.0,26.0,0.0,,,,,,,,,,,,,43.5,8529.0,27.0,0.0,48.2,7690.0,26.0,0.0,42.4,9006.0,57.0,0.0,49.8,7381.0,43.0,0.0,,,,,,,,,43.1,10539.0,28.0,0.0,44.3,8948.0,10.0,0.0,49.9,6318.0,19.0,0.0,44.1,7950.0,43.0,0.0,,,,,,,,,,,,,43.2,9761.0,22.0,0.0,43.7,9368.0,18.0,0.0,,,,,49.6,7665.0,13.0,0.0,,,,,44.9,8719.0,14.0,0.0,,,,,,,,,,,,,,,,,44.7,7530.0,11.0,0.0,,,,,49.3,8668.0,21.0,0.0,,,,,,,,,,,,,45.1,7656.0,13.0,0.0,48.8,7402.0,42.0,0.0,,,,,43.3,8365.0,16.0,0.0,,,,,42.3,3716.0,5.0,0.0,,,,,47.2,6522.0,13.0,0.0,44.4,7111.0,35.0,0.0,,,,,47.7,7625.0,14.0,0.0,,,,,44.3,9520.0,38.0,0.0
E,8Q,44.3,5328.0,1083.0,0.0,45.4,8339.0,16.0,0.0,,,,,,,,,,,,,47.2,8406.0,11.0,0.0,,,,,46.3,7630.0,21.0,0.0,,,,,42.7,3970.0,0.0,0.0,,,,,38.9,269.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,6965.0,36.0,0.0,,,,,42.9,7488.0,13.0,0.0,44.9,7156.0,7.0,0.0,45.4,9001.0,49.0,0.0,,,,,,,,,,,,,46.3,8660.0,19.0,0.0,43.6,7604.0,27.0,0.0,45.1,9125.0,33.0,0.0,45.6,7379.0,41.0,0.0,,,,,,,,,46.0,10387.0,18.0,0.0,46.7,8982.0,8.0,0.0,46.2,6212.0,61.0,0.0,46.8,8007.0,32.0,0.0,,,,,,,,,,,,,45.7,9740.0,10.0,0.0,46.7,2580.0,4.0,0.0,,,,,45.3,7677.0,8.0,0.0,,,,,47.5,8746.0,6.0,0.0,,,,,,,,,,,,,,,,,47.5,7559.0,11.0,0.0,,,,,45.3,8644.0,21.0,0.0,,,,,,,,,,,,,47.8,7664.0,10.0,0.0,43.6,7429.0,26.0,0.0,,,,,46.6,8387.0,11.0,0.0,,,,,,,,,,,,,44.3,6535.0,9.0,0.0,47.0,7223.0,23.0,0.0,,,,,44.6,7640.0,11.0,0.0,,,,,46.9,9507.0,35.0,0.0
G,1C,44.6,32175.0,261.0,0.34,47.2,29911.0,259.0,0.33,44.5,30246.0,59.0,0.33,42.5,30431.0,186.0,0.41,44.6,28930.0,72.0,0.41,43.2,31717.0,76.0,0.24,44.4,33856.0,63.0,0.43,44.5,28929.0,103.0,0.38,44.3,29080.0,138.0,0.4,47.1,33425.0,90.0,0.34,44.5,28502.0,55.0,0.52,42.2,31072.0,173.0,0.21,42.8,32446.0,76.0,0.37,43.0,32647.0,80.0,0.35,44.4,28785.0,53.0,0.31,44.8,28200.0,76.0,0.58,42.4,27730.0,138.0,0.41,44.6,27286.0,153.0,0.32,43.4,29740.0,89.0,0.47,45.6,29208.0,139.0,0.25,37.3,23753.0,110.0,0.42,47.3,29629.0,90.0,0.31,47.8,28181.0,30.0,0.3,47.4,33095.0,61.0,0.26,44.5,27232.0,57.0,0.32,43.5,31089.0,78.0,0.53,43.9,30279.0,188.0,0.68,44.0,32025.0,163.0,0.42,47.4,33532.0,44.0,0.33,43.3,33312.0,153.0,0.35,47.8,32214.0,205.0,0.24,43.9,29569.0,234.0,0.61,43.4,33102.0,158.0,0.43,42.8,31675.0,135.0,0.46,42.9,34130.0,131.0,0.31,45.9,26001.0,137.0,0.27,45.3,31437.0,128.0,0.4,43.1,31946.0,243.0,0.48,43.6,31369.0,94.0,0.47,44.6,30418.0,208.0,0.41,45.5,31242.0,44.0,0.31,43.9,27210.0,75.0,0.33,42.9,30747.0,87.0,0.67,47.4,29659.0,114.0,0.22,43.9,29906.0,171.0,0.6,44.1,27913.0,108.0,0.4,44.5,26910.0,118.0,0.58,43.0,31910.0,140.0,0.55,43.3,28474.0,237.0,0.86,44.0,28167.0,208.0,0.8,44.9,29145.0,72.0,0.37,44.8,28596.0,119.0,0.38,47.9,32804.0,48.0,0.28,43.9,32446.0,98.0,0.36,43.7,31000.0,218.0,0.66,41.8,29208.0,111.0,0.7,45.5,29168.0,87.0,0.24,47.3,30536.0,130.0,0.3,44.1,29939.0,81.0,0.39,44.0,31131.0,50.0,0.25,43.2,27048.0,327.0,0.85,45.4,31867.0,78.0,0.32,43.6,31223.0,94.0,0.68,46.9,27359.0,26.0,0.18,44.9,26966.0,131.0,0.36,45.0,27731.0,80.0,0.6,47.9,29543.0,60.0,0.27,43.2,31305.0,125.0,0.57,45.5,35486.0,110.0,0.23
G,2S,43.3,19520.0,187.0,0.25,44.5,18170.0,92.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,19972.0,35.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,16787.0,100.0,0.22,,,,,42.9,17794.0,69.0,0.17,44.2,16946.0,24.0,0.15,,,,,,,,,,,,,,,,,,,,,43.1,20512.0,28.0,0.21,,,,,44.7,18974.0,150.0,0.18,,,,,,,,,,,,,,,,,45.5,15210.0,71.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,19715.0,40.0,0.17,,,,,,,,,,,,,,,,,44.1,18506.0,69.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,17333.0,28.0,0.14,,,,,,,,
G,2W,40.1,32035.0,303.0,0.34,41.7,29674.0,268.0,0.28,31.9,29799.0,123.0,0.3,26.8,28814.0,478.0,0.42,31.6,28227.0,104.0,0.43,30.0,31632.0,66.0,0.2,29.8,33025.0,126.0,0.35,31.5,28713.0,84.0,0.27,31.5,27889.0,263.0,0.4,40.9,33367.0,104.0,0.26,30.7,27620.0,65.0,0.35,31.1,29959.0,46.0,0.15,28.8,31770.0,164.0,0.36,29.7,31536.0,198.0,0.33,32.0,28137.0,121.0,0.31,30.9,26868.0,73.0,0.42,29.1,26224.0,117.0,0.34,32.7,26383.0,160.0,0.31,28.5,28834.0,157.0,0.49,38.6,29034.0,205.0,0.24,17.5,7693.0,39.0,0.39,39.3,29512.0,117.0,0.24,40.9,28145.0,36.0,0.23,41.3,33029.0,85.0,0.23,33.1,26301.0,88.0,0.35,30.0,29512.0,118.0,0.37,30.1,28929.0,120.0,0.4,29.8,31700.0,135.0,0.31,39.9,33500.0,55.0,0.27,27.8,32854.0,107.0,0.26,41.6,32074.0,250.0,0.21,30.5,27349.0,205.0,0.42,29.4,32218.0,410.0,0.42,28.9,31440.0,108.0,0.27,28.0,33801.0,92.0,0.32,42.0,25912.0,154.0,0.24,32.3,31191.0,121.0,0.22,30.1,30847.0,379.0,0.45,30.0,30181.0,258.0,0.4,32.0,29278.0,245.0,0.39,31.8,31169.0,43.0,0.15,31.1,27083.0,60.0,0.19,28.7,29244.0,197.0,0.42,41.1,29529.0,131.0,0.18,30.5,28566.0,216.0,0.41,31.4,27746.0,83.0,0.25,31.8,25470.0,93.0,0.4,28.8,30434.0,94.0,0.37,30.0,26335.0,140.0,0.51,30.5,26199.0,125.0,0.48,32.3,29054.0,64.0,0.24,32.3,27746.0,132.0,0.41,41.4,32765.0,57.0,0.2,30.7,31487.0,184.0,0.33,30.0,29401.0,237.0,0.41,27.5,26763.0,77.0,0.42,32.0,28898.0,62.0,0.28,41.1,30417.0,140.0,0.23,32.1,28238.0,199.0,0.41,30.8,31031.0,49.0,0.26,30.0,24192.0,262.0,0.56,32.3,31522.0,49.0,0.16,28.8,29897.0,114.0,0.4,40.6,27336.0,30.0,0.21,32.7,26627.0,81.0,0.28,30.5,26784.0,81.0,0.4,41.8,29476.0,68.0,0.21,29.3,30358.0,252.0,0.39,32.6,35431.0,106.0,0.25
