,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,ALIC00AUS,ALIC00AUS,ALIC00AUS,ALIC00AUS,AREG00PER,AREG00PER,AREG00PER,AREG00PER,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HARB00ZAF,HARB00ZAF,HARB00ZAF,HARB00ZAF,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REUN00REU,REUN00REU,REUN00REU,REUN00REU,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SEYG00SYC,SEYG00SYC,SEYG00SYC,SEYG00SYC,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,UNBN00CAN,UNBN00CAN,UNBN00CAN,UNBN00CAN,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,40.4,3188.0,58.0,0.44,,,,,45.8,3084.0,0.0,0.26,39.0,5317.0,44.0,0.48,39.3,8245.0,20.0,0.43,39.4,11516.0,13.0,0.46,,,,,38.8,8226.0,57.0,0.63,46.2,2539.0,6.0,0.3,42.9,22983.0,19.0,0.17,,,,,43.7,28741.0,1.0,0.17,41.2,29734.0,26.0,0.46,39.2,20832.0,141.0,0.44,38.9,13683.0,77.0,0.43,39.1,7986.0,22.0,0.58,37.5,16414.0,46.0,0.39,42.3,3814.0,35.0,0.46,38.1,12881.0,405.0,0.56,40.4,10308.0,145.0,0.18,35.1,1764.0,85.0,0.45,45.7,23008.0,9.0,0.12,46.1,23004.0,9.0,0.12,,,,,41.8,28829.0,23.0,0.27,,,,,,,,,43.2,11565.0,44.0,0.44,42.3,2930.0,4.0,0.29,44.6,2702.0,4.0,0.3,41.6,21074.0,103.0,0.21,,,,,42.6,3237.0,13.0,0.4,,,,,40.7,22393.0,79.0,0.43,38.8,6951.0,93.0,0.75,42.5,6672.0,18.0,0.44,,,,,47.5,2714.0,2.0,0.28,,,,,,,,,,,,,,,,,43.9,33755.0,26.0,0.27,,,,,,,,,,,,,,,,,40.8,11189.0,14.0,0.45,40.8,17157.0,241.0,0.45,41.4,7473.0,19.0,0.33,40.7,5539.0,14.0,0.41,,,,,40.4,24426.0,24.0,0.33,,,,,43.3,3783.0,40.0,0.55,40.4,9293.0,415.0,0.75,39.2,9304.0,9.0,0.43,39.8,10857.0,14.0,0.41,,,,,,,,,,,,,,,,,39.5,7871.0,20.0,0.53,40.4,19976.0,43.0,0.56,41.9,13000.0,22.0,0.34,,,,,44.0,9147.0,7.0,0.43
C,7I,47.3,3186.0,57.0,0.57,48.6,22974.0,16.0,0.0,47.2,3082.0,1.0,0.21,40.0,5276.0,65.0,0.41,39.6,8220.0,25.0,0.35,42.6,9590.0,10.0,0.23,41.7,23868.0,121.0,0.0,41.7,6942.0,15.0,0.46,47.4,2529.0,9.0,0.24,48.2,22983.0,19.0,0.13,42.4,12049.0,11.0,0.0,45.7,28741.0,1.0,0.12,39.9,29690.0,43.0,0.49,40.3,20641.0,237.0,0.33,42.2,13610.0,111.0,0.32,39.5,7949.0,36.0,0.42,41.6,16298.0,109.0,0.24,44.5,3726.0,82.0,0.38,39.5,12736.0,453.0,0.42,40.0,9288.0,33.0,0.23,31.4,1107.0,21.0,0.32,44.1,23008.0,9.0,0.11,46.4,23004.0,9.0,0.11,,,,,44.6,28770.0,44.0,0.21,44.4,31916.0,26.0,0.0,43.8,21077.0,84.0,0.0,44.0,9165.0,25.0,0.36,47.2,2930.0,4.0,0.31,46.5,2720.0,3.0,0.26,46.3,21043.0,111.0,0.21,42.7,20389.0,204.0,0.0,44.0,3219.0,23.0,0.35,43.6,23131.0,44.0,0.0,41.7,16983.0,60.0,0.27,44.6,6951.0,93.0,0.86,40.4,5982.0,6.0,0.39,44.0,26184.0,402.0,0.0,47.7,2715.0,1.0,0.19,44.9,24530.0,15.0,0.0,43.8,31003.0,64.0,0.0,,,,,41.9,16086.0,143.0,0.0,45.5,29154.0,18.0,0.23,44.9,28342.0,40.0,0.0,44.4,27238.0,645.0,0.0,44.4,23333.0,42.0,0.0,42.8,21902.0,65.0,0.0,43.0,9207.0,12.0,0.31,44.4,17002.0,283.0,0.38,44.9,7467.0,22.0,0.3,39.8,5489.0,36.0,0.32,42.4,16468.0,72.0,0.0,42.4,24287.0,103.0,0.25,42.2,22818.0,331.0,0.0,44.7,3390.0,23.0,0.42,44.0,9290.0,415.0,0.74,40.8,9282.0,19.0,0.33,41.6,8952.0,6.0,0.26,42.5,15444.0,90.0,0.0,46.1,19588.0,18.0,0.0,42.3,19009.0,429.0,0.0,,,,,42.6,6645.0,11.0,0.36,42.0,19951.0,54.0,0.42,40.7,12986.0,30.0,0.37,45.3,32005.0,7.0,0.0,44.2,7605.0,6.0,0.23
E,1C,47.6,8015.0,37.0,0.36,49.8,8017.0,12.0,0.32,,,,,,,,,,,,,42.6,10604.0,15.0,0.16,,,,,44.3,9507.0,14.0,0.22,,,,,47.6,4337.0,0.0,0.36,,,,,40.8,4572.0,1.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,8120.0,35.0,0.25,,,,,49.1,7107.0,30.0,0.35,49.6,6637.0,8.0,0.31,49.7,10767.0,23.0,0.28,,,,,,,,,,,,,43.8,10636.0,34.0,0.28,49.4,8603.0,7.0,0.41,42.5,11033.0,42.0,0.25,49.5,7494.0,60.0,0.31,,,,,,,,,42.0,10050.0,31.0,0.34,41.5,11862.0,49.0,0.24,48.7,7113.0,18.0,0.24,44.7,10755.0,32.0,0.31,,,,,45.5,9331.0,12.0,0.22,43.8,8599.0,21.0,0.1,,,,,49.3,10282.0,16.0,0.22,,,,,43.5,9127.0,35.0,0.28,,,,,,,,,,,,,,,,,44.2,9621.0,18.0,0.25,,,,,49.9,9496.0,17.0,0.26,,,,,,,,,,,,,,,,,45.3,10041.0,31.0,0.2,49.8,6311.0,16.0,0.31,,,,,43.5,10553.0,17.0,0.17,,,,,44.0,3407.0,4.0,0.2,,,,,48.7,7639.0,7.0,0.24,44.7,8878.0,30.0,0.25,,,,,49.8,9041.0,24.0,0.31,,,,,45.3,11295.0,11.0,0.19
E,5Q,47.5,7984.0,39.0,0.46,48.2,7460.0,20.0,0.33,,,,,,,,,,,,,44.8,9913.0,13.0,0.13,,,,,45.0,8770.0,8.0,0.2,,,,,45.7,2942.0,1.0,0.36,,,,,40.7,3273.0,2.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,8008.0,38.0,0.26,,,,,46.1,7062.0,34.0,0.4,48.3,6616.0,8.0,0.26,48.5,10259.0,26.0,0.33,,,,,,,,,,,,,44.1,10035.0,21.0,0.25,47.7,8589.0,13.0,0.44,42.7,10297.0,49.0,0.25,47.7,7441.0,78.0,0.31,,,,,,,,,43.4,9139.0,21.0,0.25,41.5,10436.0,31.0,0.18,48.8,7104.0,15.0,0.3,43.6,9854.0,30.0,0.23,,,,,42.8,8868.0,37.0,0.16,28.4,1272.0,73.0,0.21,,,,,47.7,9278.0,21.0,0.2,,,,,43.5,8056.0,23.0,0.23,,,,,,,,,,,,,,,,,45.1,8902.0,17.0,0.2,,,,,48.4,9487.0,20.0,0.24,,,,,,,,,,,,,,,,,44.1,9166.0,23.0,0.16,48.0,6276.0,14.0,0.29,,,,,44.3,9772.0,13.0,0.15,,,,,43.6,2464.0,3.0,0.13,,,,,48.2,7629.0,10.0,0.34,45.4,8257.0,24.0,0.26,,,,,48.3,8912.0,25.0,0.26,,,,,43.5,10372.0,14.0,0.15
E,7Q,50.0,8003.0,35.0,0.0,50.4,7504.0,13.0,0.0,,,,,,,,,,,,,45.1,9919.0,14.0,0.0,,,,,45.0,8781.0,10.0,0.0,,,,,47.8,2943.0,0.0,0.0,,,,,41.9,2969.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,8024.0,37.0,0.0,,,,,45.4,7040.0,36.0,0.0,47.9,6631.0,8.0,0.0,49.8,10265.0,22.0,0.0,,,,,,,,,,,,,44.0,10036.0,20.0,0.0,48.7,8596.0,13.0,0.0,42.8,10296.0,45.0,0.0,49.4,7471.0,69.0,0.0,,,,,,,,,43.2,9118.0,26.0,0.0,42.3,10485.0,30.0,0.0,50.4,7110.0,18.0,0.0,44.0,9868.0,35.0,0.0,,,,,43.7,8892.0,27.0,0.0,44.8,7712.0,16.0,0.0,,,,,49.0,9327.0,15.0,0.0,,,,,44.2,8098.0,20.0,0.0,,,,,,,,,,,,,,,,,45.2,8901.0,14.0,0.0,,,,,49.7,9489.0,18.0,0.0,,,,,,,,,,,,,,,,,44.8,9185.0,25.0,0.0,49.5,6268.0,17.0,0.0,,,,,44.0,9743.0,17.0,0.0,,,,,44.3,2407.0,0.0,0.0,,,,,47.3,7625.0,9.0,0.0,45.7,8249.0,25.0,0.0,,,,,47.8,8916.0,22.0,0.0,,,,,44.2,10388.0,13.0,0.0
E,8Q,45.0,6011.0,1272.0,0.0,45.9,7503.0,12.0,0.0,,,,,,,,,,,,,47.8,9962.0,11.0,0.0,,,,,47.9,8828.0,10.0,0.0,,,,,42.8,2934.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,7938.0,45.0,0.0,,,,,41.8,7067.0,25.0,0.0,44.6,6632.0,8.0,0.0,45.7,10232.0,48.0,0.0,,,,,,,,,,,,,46.9,10079.0,14.0,0.0,44.1,8574.0,13.0,0.0,45.5,10430.0,27.0,0.0,45.1,7469.0,67.0,0.0,,,,,,,,,46.6,9196.0,15.0,0.0,44.8,10479.0,22.0,0.0,46.8,6938.0,99.0,0.0,46.6,9950.0,23.0,0.0,,,,,46.2,8916.0,17.0,0.0,47.9,2247.0,2.0,0.0,,,,,44.6,9332.0,13.0,0.0,,,,,46.8,7990.0,10.0,0.0,,,,,,,,,,,,,,,,,48.0,8966.0,10.0,0.0,,,,,45.6,9473.0,22.0,0.0,,,,,,,,,,,,,,,,,47.3,9233.0,14.0,0.0,44.7,6269.0,14.0,0.0,,,,,47.0,9799.0,8.0,0.0,,,,,44.8,738.0,0.0,0.0,,,,,44.5,7631.0,7.0,0.0,48.4,8317.0,14.0,0.0,,,,,44.7,8929.0,23.0,0.0,,,,,46.8,10398.0,12.0,0.0
G,1C,44.6,32063.0,310.0,0.35,47.3,29860.0,238.0,0.33,44.4,30283.0,70.0,0.37,42.6,30483.0,125.0,0.41,44.6,28936.0,76.0,0.38,43.1,31864.0,75.0,0.26,44.5,33849.0,56.0,0.43,44.5,28901.0,98.0,0.36,44.4,29095.0,171.0,0.41,47.0,33161.0,124.0,0.34,44.6,28516.0,45.0,0.54,42.2,30984.0,172.0,0.2,42.8,31994.0,112.0,0.38,43.0,32625.0,75.0,0.35,44.2,28807.0,60.0,0.32,44.8,28199.0,88.0,0.57,42.4,27706.0,129.0,0.41,44.6,27200.0,155.0,0.37,42.9,29667.0,103.0,0.45,45.6,29156.0,121.0,0.22,36.4,20370.0,62.0,0.45,47.4,29720.0,90.0,0.29,47.9,28192.0,41.0,0.3,47.5,33068.0,68.0,0.29,44.6,27354.0,59.0,0.33,43.6,31035.0,114.0,0.53,43.9,30231.0,201.0,0.69,44.1,32788.0,168.0,0.43,47.4,33633.0,48.0,0.34,43.3,33401.0,155.0,0.33,47.9,32096.0,206.0,0.26,43.7,29694.0,272.0,0.63,43.4,33017.0,163.0,0.46,42.7,31698.0,148.0,0.45,43.1,34403.0,130.0,0.3,45.8,25933.0,181.0,0.27,45.3,31449.0,110.0,0.4,43.5,31383.0,63.0,0.44,45.6,31083.0,58.0,0.32,43.9,27294.0,72.0,0.31,42.9,30672.0,94.0,0.67,47.3,29629.0,127.0,0.21,44.0,29901.0,112.0,0.59,44.3,27578.0,87.0,0.36,44.5,26978.0,149.0,0.56,43.1,32029.0,137.0,0.57,43.3,28561.0,246.0,0.85,43.9,28174.0,200.0,0.83,44.7,29151.0,72.0,0.35,44.9,28535.0,126.0,0.36,47.7,32817.0,51.0,0.3,43.8,32443.0,87.0,0.35,43.7,30993.0,204.0,0.6,42.8,29865.0,52.0,0.34,41.3,28947.0,78.0,0.71,46.1,29747.0,108.0,0.23,47.3,30572.0,125.0,0.33,44.1,29924.0,91.0,0.37,44.0,30968.0,53.0,0.23,43.4,26879.0,521.0,0.85,45.1,32410.0,81.0,0.35,43.5,31216.0,90.0,0.65,47.1,27353.0,27.0,0.17,45.0,26835.0,112.0,0.37,44.9,27812.0,92.0,0.61,47.8,29553.0,58.0,0.27,43.1,31121.0,84.0,0.58,45.5,36338.0,55.0,0.22
G,2S,43.3,18680.0,299.0,0.33,44.4,18211.0,99.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,19599.0,39.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,16810.0,81.0,0.17,,,,,42.9,17822.0,78.0,0.19,44.3,16942.0,34.0,0.16,,,,,,,,,,,,,,,,,,,,,43.0,20576.0,37.0,0.22,,,,,44.8,18869.0,172.0,0.2,,,,,,,,,,,,,,,,,45.5,15153.0,96.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,19686.0,46.0,0.18,,,,,,,,,,,,,,,,,,,,,44.2,18442.0,66.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,17382.0,22.0,0.15,,,,,,,,
G,2W,40.2,31851.0,364.0,0.37,41.6,29645.0,248.0,0.29,31.9,29754.0,186.0,0.36,26.9,29126.0,355.0,0.41,31.7,28227.0,110.0,0.4,30.0,31766.0,64.0,0.21,29.9,33092.0,110.0,0.35,31.8,28751.0,79.0,0.25,31.8,27829.0,304.0,0.39,40.9,33079.0,142.0,0.28,30.9,27716.0,62.0,0.35,30.8,29931.0,45.0,0.14,28.8,31232.0,225.0,0.37,29.7,31458.0,222.0,0.33,31.9,28151.0,137.0,0.31,30.9,26942.0,74.0,0.41,29.0,26293.0,122.0,0.32,32.8,26303.0,190.0,0.32,27.6,28630.0,173.0,0.46,38.8,28983.0,186.0,0.23,17.1,4196.0,25.0,0.42,39.3,29581.0,125.0,0.24,41.1,28139.0,51.0,0.23,41.1,32999.0,97.0,0.26,33.4,26391.0,98.0,0.37,30.0,29512.0,146.0,0.38,30.2,28831.0,119.0,0.39,30.1,32485.0,143.0,0.3,39.8,33585.0,62.0,0.29,27.8,32939.0,124.0,0.27,41.7,31943.0,254.0,0.22,30.3,27312.0,217.0,0.45,29.4,32070.0,452.0,0.45,28.9,31433.0,124.0,0.29,28.4,34078.0,93.0,0.3,41.8,25848.0,191.0,0.23,32.2,31219.0,86.0,0.23,29.6,29949.0,199.0,0.38,31.8,30975.0,76.0,0.18,31.2,27160.0,58.0,0.19,28.7,29095.0,190.0,0.41,40.9,29467.0,149.0,0.17,30.7,28623.0,192.0,0.38,31.8,27448.0,76.0,0.23,31.9,25482.0,102.0,0.39,29.0,30497.0,93.0,0.37,30.1,26267.0,132.0,0.49,30.5,26120.0,100.0,0.5,32.1,29060.0,63.0,0.21,32.4,27706.0,146.0,0.39,41.2,32771.0,71.0,0.23,30.6,31433.0,183.0,0.33,30.0,29392.0,218.0,0.38,29.2,29132.0,80.0,0.32,26.6,25985.0,83.0,0.41,33.5,29589.0,96.0,0.27,41.1,30451.0,118.0,0.24,32.1,28895.0,169.0,0.37,30.7,30874.0,50.0,0.25,30.5,23672.0,530.0,0.53,32.1,31820.0,59.0,0.18,28.7,29880.0,111.0,0.4,40.8,27340.0,28.0,0.21,32.9,26531.0,78.0,0.28,30.5,26850.0,113.0,0.42,41.7,29507.0,53.0,0.2,29.2,30161.0,203.0,0.41,32.5,36253.0,46.0,0.26
