,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,ALIC00AUS,ALIC00AUS,ALIC00AUS,ALIC00AUS,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CPVG00CPV,CPVG00CPV,CPVG00CPV,CPVG00CPV,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GAMB00PYF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,METG00FIN,METG00FIN,METG00FIN,METG00FIN,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REUN00REU,REUN00REU,REUN00REU,REUN00REU,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SEYG00SYC,SEYG00SYC,SEYG00SYC,SEYG00SYC,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,UNBN00CAN,UNBN00CAN,UNBN00CAN,UNBN00CAN,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,40.6,2365.0,57.0,0.56,,,,,38.9,5490.0,30.0,0.48,39.5,8264.0,15.0,0.42,,,,,,,,,39.3,8239.0,41.0,0.53,44.5,2251.0,8.0,0.47,42.9,23038.0,16.0,0.16,,,,,43.7,29326.0,7.0,0.18,43.7,2474.0,8.0,0.36,41.1,30195.0,21.0,0.35,39.3,21607.0,143.0,0.46,39.2,14192.0,73.0,0.44,39.4,8022.0,15.0,0.59,37.4,16178.0,23.0,0.39,43.6,3261.0,20.0,0.44,38.6,12759.0,323.0,0.57,40.7,10330.0,121.0,0.19,45.6,23033.0,9.0,0.14,46.1,23040.0,7.0,0.13,,,,,41.8,29067.0,13.0,0.27,,,,,,,,,43.4,7975.0,12.0,0.35,41.8,2451.0,16.0,0.52,42.7,2169.0,22.0,0.5,41.6,21792.0,92.0,0.23,,,,,42.2,2469.0,12.0,0.47,,,,,40.6,23072.0,52.0,0.4,39.2,7128.0,68.0,0.77,42.8,6680.0,6.0,0.44,,,,,40.4,13544.0,97.0,0.4,46.9,2286.0,3.0,0.3,,,,,,,,,,,,,,,,,43.7,33803.0,29.0,0.29,,,,,,,,,,,,,,,,,41.9,7931.0,4.0,0.4,40.8,18044.0,246.0,0.47,41.5,7450.0,16.0,0.37,40.4,5257.0,13.0,0.43,,,,,40.5,25473.0,15.0,0.32,42.0,2135.0,20.0,0.48,40.4,9395.0,405.0,0.85,39.7,9225.0,7.0,0.42,41.0,7972.0,3.0,0.41,,,,,,,,,,,,,,,,,40.0,8096.0,23.0,0.52,40.4,20091.0,36.0,0.56,42.0,13203.0,11.0,0.27,,,,,44.0,8769.0,17.0,0.43
C,7I,46.8,2361.0,57.0,0.74,48.6,22716.0,16.0,0.0,40.1,5450.0,55.0,0.4,39.8,8232.0,32.0,0.33,42.9,9729.0,9.0,0.0,41.6,24056.0,162.0,0.0,42.1,6970.0,11.0,0.4,45.9,2212.0,33.0,0.33,48.2,23038.0,16.0,0.13,42.2,11982.0,7.0,0.0,45.6,29200.0,8.0,0.12,44.1,2464.0,15.0,0.31,39.9,30162.0,37.0,0.32,40.4,21442.0,221.0,0.34,42.3,14115.0,111.0,0.33,39.9,7977.0,30.0,0.42,41.6,16065.0,87.0,0.25,45.3,3212.0,40.0,0.34,40.2,12657.0,333.0,0.5,40.4,9254.0,28.0,0.23,44.2,23030.0,11.0,0.12,46.4,23040.0,7.0,0.11,,,,,44.6,29015.0,35.0,0.21,44.4,31959.0,27.0,0.0,43.7,20941.0,88.0,0.0,43.2,6839.0,9.0,0.27,46.1,2447.0,19.0,0.4,44.6,2198.0,21.0,0.47,46.2,21759.0,116.0,0.21,42.6,20560.0,162.0,0.0,43.2,2442.0,27.0,0.42,43.7,22933.0,61.0,0.0,42.0,17712.0,34.0,0.24,45.0,7128.0,68.0,0.87,40.9,5993.0,3.0,0.4,44.0,26335.0,465.0,0.0,42.2,12796.0,112.0,0.31,46.9,2285.0,4.0,0.23,45.0,24791.0,15.0,0.0,43.8,31168.0,57.0,0.0,,,,,42.0,15889.0,119.0,0.0,45.3,29190.0,11.0,0.25,44.8,28493.0,30.0,0.0,44.3,27239.0,600.0,0.0,44.4,23214.0,65.0,0.0,42.7,22107.0,89.0,0.0,44.7,6318.0,2.0,0.25,44.4,17842.0,335.0,0.35,45.0,7445.0,21.0,0.41,39.1,5213.0,32.0,0.34,42.3,16317.0,97.0,0.0,42.4,25347.0,79.0,0.24,43.6,1779.0,11.0,0.27,44.0,9393.0,404.0,0.76,41.2,9202.0,18.0,0.31,43.0,6343.0,1.0,0.26,42.3,15501.0,80.0,0.0,45.6,20121.0,18.0,0.0,42.4,18890.0,373.0,0.0,,,,,43.3,6823.0,8.0,0.37,41.9,20067.0,48.0,0.42,40.9,13193.0,18.0,0.29,45.3,32250.0,5.0,0.0,44.1,7226.0,17.0,0.24
E,1C,47.5,7311.0,16.0,0.29,49.6,7761.0,17.0,0.31,,,,,,,,,43.1,9620.0,11.0,0.16,,,,,44.7,8918.0,21.0,0.22,,,,,48.0,2594.0,3.0,0.3,,,,,42.3,3022.0,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,7397.0,21.0,0.21,49.3,6099.0,24.0,0.34,49.7,5914.0,9.0,0.29,49.7,10076.0,23.0,0.36,,,,,,,,,,,,,43.6,5308.0,22.0,0.29,49.2,8238.0,8.0,0.36,43.1,11222.0,25.0,0.21,49.6,7339.0,52.0,0.38,,,,,,,,,42.6,9940.0,22.0,0.32,41.4,10442.0,67.0,0.28,48.7,6667.0,21.0,0.21,45.0,10232.0,25.0,0.32,,,,,,,,,45.0,10950.0,16.0,0.19,43.5,9110.0,28.0,0.1,,,,,49.3,9354.0,11.0,0.24,,,,,44.1,8649.0,31.0,0.31,,,,,,,,,,,,,,,,,45.3,4873.0,5.0,0.24,,,,,49.9,9029.0,17.0,0.32,,,,,,,,,,,,,44.9,6704.0,22.0,0.24,49.2,8057.0,15.0,0.28,,,,,44.3,5614.0,8.0,0.17,,,,,44.6,4252.0,1.0,0.2,,,,,48.3,6924.0,9.0,0.31,44.8,8756.0,32.0,0.27,,,,,49.9,8484.0,17.0,0.29,,,,,45.1,10744.0,23.0,0.19
E,5Q,47.3,7308.0,17.0,0.4,47.9,7709.0,26.0,0.34,,,,,,,,,45.7,8833.0,9.0,0.14,,,,,45.8,8128.0,15.0,0.21,,,,,45.5,2051.0,4.0,0.32,,,,,40.7,2155.0,3.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,7007.0,27.0,0.26,46.4,6044.0,34.0,0.32,48.3,5851.0,11.0,0.28,48.7,9272.0,31.0,0.36,,,,,,,,,,,,,44.0,4951.0,12.0,0.27,47.6,8230.0,15.0,0.36,42.7,10457.0,29.0,0.2,47.7,7297.0,68.0,0.4,,,,,,,,,44.2,9624.0,20.0,0.23,41.8,9145.0,50.0,0.19,49.1,6527.0,22.0,0.28,44.5,8988.0,23.0,0.2,,,,,,,,,42.3,9843.0,15.0,0.15,29.7,1878.0,58.0,0.21,,,,,47.9,8697.0,16.0,0.23,,,,,44.0,8057.0,21.0,0.22,,,,,,,,,,,,,,,,,46.4,4373.0,4.0,0.2,,,,,48.6,9014.0,23.0,0.31,,,,,,,,,,,,,43.9,5854.0,16.0,0.22,47.6,7995.0,10.0,0.28,,,,,45.3,5032.0,5.0,0.15,,,,,43.3,2948.0,0.0,0.13,,,,,47.7,6789.0,24.0,0.38,46.1,7889.0,15.0,0.24,,,,,48.8,7967.0,17.0,0.23,,,,,43.3,10014.0,26.0,0.15
E,7Q,49.9,7308.0,17.0,0.0,50.1,7750.0,20.0,0.0,,,,,,,,,46.0,8833.0,11.0,0.0,,,,,45.9,8136.0,18.0,0.0,,,,,47.6,2055.0,3.0,0.0,,,,,42.0,1887.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,6994.0,26.0,0.0,45.7,6021.0,49.0,0.0,48.0,5887.0,11.0,0.0,50.0,9281.0,26.0,0.0,,,,,,,,,,,,,44.0,4953.0,19.0,0.0,48.6,8234.0,10.0,0.0,42.8,10523.0,24.0,0.0,49.4,7323.0,59.0,0.0,,,,,,,,,44.0,9609.0,17.0,0.0,42.6,9174.0,36.0,0.0,50.6,6532.0,21.0,0.0,44.8,8987.0,27.0,0.0,,,,,,,,,43.3,9878.0,14.0,0.0,44.5,8755.0,19.0,0.0,,,,,49.2,8719.0,13.0,0.0,,,,,44.7,8071.0,23.0,0.0,,,,,,,,,,,,,,,,,46.5,4381.0,4.0,0.0,,,,,49.9,9017.0,22.0,0.0,,,,,,,,,,,,,44.7,5867.0,17.0,0.0,49.0,8046.0,12.0,0.0,,,,,45.0,5028.0,5.0,0.0,,,,,43.8,2835.0,1.0,0.0,,,,,46.9,6788.0,17.0,0.0,46.4,7911.0,12.0,0.0,,,,,48.4,7960.0,13.0,0.0,,,,,44.0,10025.0,25.0,0.0
E,8Q,44.9,5594.0,1041.0,0.0,45.6,7744.0,18.0,0.0,,,,,,,,,48.7,8875.0,9.0,0.0,,,,,48.8,8144.0,10.0,0.0,,,,,42.6,2055.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,6839.0,26.0,0.0,42.1,6050.0,25.0,0.0,44.7,5903.0,9.0,0.0,46.0,9248.0,44.0,0.0,,,,,,,,,,,,,46.9,4977.0,7.0,0.0,43.9,8234.0,11.0,0.0,45.6,10586.0,14.0,0.0,45.1,7321.0,55.0,0.0,,,,,,,,,47.2,9701.0,11.0,0.0,45.1,9224.0,22.0,0.0,47.2,6430.0,92.0,0.0,47.5,9038.0,13.0,0.0,,,,,,,,,45.8,9875.0,13.0,0.0,47.4,3040.0,4.0,0.0,,,,,44.8,8718.0,12.0,0.0,,,,,47.2,8116.0,7.0,0.0,,,,,,,,,,,,,,,,,49.3,4406.0,3.0,0.0,,,,,45.9,9013.0,25.0,0.0,,,,,,,,,,,,,47.2,5891.0,6.0,0.0,44.2,7997.0,14.0,0.0,,,,,48.0,5052.0,2.0,0.0,,,,,46.3,1430.0,0.0,0.0,,,,,44.1,6683.0,19.0,0.0,49.1,7944.0,8.0,0.0,,,,,45.4,7974.0,13.0,0.0,,,,,46.6,10027.0,21.0,0.0
G,1C,44.6,32152.0,269.0,0.35,47.2,29861.0,236.0,0.29,43.1,30533.0,127.0,0.43,44.6,28926.0,77.0,0.4,43.1,31932.0,75.0,0.25,44.3,33844.0,59.0,0.45,44.6,28882.0,96.0,0.37,44.4,29097.0,148.0,0.4,47.0,33142.0,114.0,0.35,44.5,28517.0,41.0,0.54,42.1,31131.0,142.0,0.21,43.1,32552.0,148.0,0.45,42.8,31965.0,131.0,0.39,43.2,32655.0,77.0,0.35,44.2,28759.0,56.0,0.33,44.9,28194.0,76.0,0.58,42.4,27658.0,139.0,0.39,44.6,27226.0,152.0,0.38,43.7,29724.0,97.0,0.44,45.6,29155.0,125.0,0.22,47.4,29709.0,89.0,0.3,47.8,28216.0,27.0,0.29,47.6,33058.0,72.0,0.37,44.5,27362.0,58.0,0.32,43.6,31024.0,112.0,0.52,43.8,30349.0,192.0,0.66,44.1,17301.0,73.0,0.42,47.4,33305.0,62.0,0.33,43.2,33534.0,153.0,0.35,47.8,32131.0,199.0,0.29,43.7,29732.0,227.0,0.66,43.4,33044.0,156.0,0.43,42.7,31631.0,154.0,0.44,43.1,34498.0,153.0,0.31,45.7,25956.0,183.0,0.24,45.4,31412.0,104.0,0.39,43.5,31380.0,74.0,0.44,44.6,30886.0,223.0,0.45,45.5,31162.0,52.0,0.3,43.9,27278.0,61.0,0.32,42.9,30680.0,84.0,0.66,47.2,29625.0,121.0,0.2,44.0,29873.0,136.0,0.59,44.2,27674.0,83.0,0.37,44.5,26930.0,121.0,0.55,43.0,31985.0,138.0,0.55,43.2,28570.0,259.0,0.82,43.9,28139.0,199.0,0.84,44.9,16015.0,37.0,0.38,44.9,28574.0,121.0,0.36,47.8,32820.0,51.0,0.39,44.0,32443.0,85.0,0.35,43.7,30980.0,201.0,0.63,43.0,29858.0,51.0,0.34,46.1,17185.0,40.0,0.22,47.3,30661.0,91.0,0.31,44.2,29917.0,77.0,0.38,44.2,17270.0,20.0,0.25,43.3,27327.0,441.0,0.84,45.2,32407.0,67.0,0.35,43.6,31205.0,76.0,0.66,46.5,27321.0,29.0,0.22,45.0,27037.0,133.0,0.39,44.9,27787.0,100.0,0.63,47.9,29531.0,49.0,0.26,43.1,31087.0,119.0,0.62,45.5,34994.0,106.0,0.22
G,2S,43.3,19409.0,235.0,0.29,44.4,18268.0,93.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,44.2,19598.0,37.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,16807.0,81.0,0.18,42.9,17819.0,63.0,0.2,44.3,16969.0,15.0,0.15,,,,,,,,,,,,,,,,,,,,,43.1,20300.0,49.0,0.21,,,,,44.7,18847.0,162.0,0.2,,,,,,,,,,,,,,,,,45.5,15164.0,101.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,19658.0,75.0,0.27,,,,,,,,,,,,,,,,,44.2,18513.0,45.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,17372.0,24.0,0.14,,,,,,,,
G,2W,40.1,31965.0,343.0,0.35,41.6,29645.0,248.0,0.25,29.1,29533.0,313.0,0.41,31.7,28241.0,115.0,0.39,30.0,31837.0,65.0,0.2,29.7,32990.0,131.0,0.36,31.9,28694.0,81.0,0.25,31.9,27835.0,298.0,0.41,40.9,33048.0,122.0,0.27,30.8,27707.0,64.0,0.35,30.7,30122.0,53.0,0.14,30.1,31394.0,421.0,0.41,28.8,31137.0,265.0,0.37,29.8,31542.0,176.0,0.33,31.8,28087.0,124.0,0.32,31.0,26920.0,69.0,0.42,29.0,26324.0,121.0,0.32,32.8,26342.0,173.0,0.34,28.8,28882.0,149.0,0.47,38.7,28995.0,193.0,0.23,39.2,29591.0,111.0,0.24,41.0,28172.0,35.0,0.22,41.2,32956.0,129.0,0.35,33.3,26406.0,95.0,0.36,30.0,29485.0,127.0,0.37,30.0,28898.0,121.0,0.4,30.0,17140.0,67.0,0.32,39.9,33266.0,76.0,0.27,27.8,33048.0,128.0,0.28,41.6,31969.0,245.0,0.24,30.3,27347.0,194.0,0.41,29.4,32005.0,477.0,0.42,28.8,31355.0,118.0,0.29,28.2,34098.0,106.0,0.31,41.8,25863.0,203.0,0.24,32.3,31177.0,86.0,0.22,29.7,29941.0,184.0,0.38,32.2,29711.0,274.0,0.38,31.7,31080.0,48.0,0.16,31.3,27177.0,54.0,0.18,28.7,29058.0,175.0,0.4,40.8,29466.0,140.0,0.18,30.7,28542.0,197.0,0.39,31.5,27545.0,73.0,0.23,31.8,25481.0,94.0,0.39,28.9,30464.0,108.0,0.37,30.0,26114.0,153.0,0.49,30.4,26124.0,116.0,0.5,32.4,15969.0,34.0,0.24,32.4,27696.0,151.0,0.4,41.3,32722.0,113.0,0.33,30.7,31500.0,172.0,0.33,30.1,29376.0,243.0,0.4,29.4,29174.0,61.0,0.32,33.4,17102.0,28.0,0.28,41.1,30567.0,108.0,0.24,32.2,28829.0,199.0,0.38,31.3,17219.0,18.0,0.27,30.1,24400.0,402.0,0.57,32.0,31943.0,69.0,0.17,28.9,29896.0,101.0,0.39,39.9,27247.0,62.0,0.24,33.1,26732.0,107.0,0.29,30.5,26832.0,126.0,0.42,41.7,29487.0,56.0,0.21,29.2,30066.0,237.0,0.39,32.5,34913.0,98.0,0.28
