,Latitude,Longitude,Height,pr_level,stats,obs,snr,gaps,multipath,segment,TOPSIS
DRAO00CAN,49.323,-119.625,542.2909999999999,1.0,100,28244.0,35.45,46.5,0.26,7,1
HRAO00ZAF,-25.89,27.687,1414.744,1.0,100,28428.5,36.45,28.5,0.16,0,1
KIRI00KIR,1.355,172.923,36.59,1.0,100,30660.0,31.65,64.0,0.265,5,1
MIZU00JPN,39.135,141.13299999999998,117.427,2.0,100,30285.5,33.6,34.0,0.26,6,1
POL200KGZ,42.68,74.694,1714.63,1.0,100,27074.5,38.849999999999994,80.5,0.26,2,1
REYK00ISL,64.139,-21.955,93.54,2.0,100,33774.0,44.5,66.0,0.235,1,1
RIO200ARG,-53.785,-67.751,32.477,1.0,100,33521.0,31.5,60.0,0.18,3,1
STJO00CAN,47.595,-52.678,153.238,1.0,100,27608.0,35.7,28.5,0.175,9,1
WTZR00DEU,49.144,12.879,666.462,2.0,100,29593.5,45.349999999999994,51.0,0.19,4,1
YAR200AUS,-29.047,115.347,241.685,1.0,100,28513.0,29.6,36.0,0.19,8,1
