id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
1,ABMF00GLP,2919786.0,-5383745.0,1774604.0,16.26230555555555,-61.52753055555555,-25.0,SEPT POLARX5
2,ABPO00MDG,4097216.6805,4429119.0287,-2065771.3676,-19.01830602777778,47.22921169444445,1552.9923,SEPT POLARX5
3,AC2300USA,-2752834.7418,-1533597.398,5526823.2554,60.47509444444443,-150.8779277777778,80.301,SEPT POLARX5
4,AC2400USA,-3051338.7572,-1317097.8223,5425614.2192,58.68157222222222,-156.6527555555555,36.4,SEPT POLARX5
5,ACRG00GHA,6347491.377,-22944.8986,622822.4766,5.641472222222221,-0.207111111111111,83.4,JAVAD TRE_3S
6,ACSO00USA,595828.9368,-4839735.3204,4097876.7222,40.23235277777778,-82.98152499999999,249.387,SEPT POLARX5
7,ADIS00ETH,4913652.76087,3945922.66962,995383.33311,9.035135727777778,38.76630398055556,2439.149,LEICA GR50
8,AGGO00ARG,2765120.9,-4449250.25,-3626405.6,-34.873708333333326,-58.1398611111111,42.085,SEPT POLARX5TR
9,AIRA00JPN,-3530185.489,4118797.337,3344036.931,31.82406111111111,130.59959166666667,314.64,TRIMBLE ALLOY
10,AJAC00FRA,4696990.0,723994.0,4239678.0,41.92745,8.762608333333334,98.8,LEICA GR50
11,ALBH00CAN,-2341332.884,-3539049.509,4745791.36,48.38980000000001,-123.48739999999998,32.0,SEPT POLARX5
12,ALGO00CAN,918129.4,-4346071.2,4561977.8,45.95880000000001,-78.07140000000003,202.0,SEPT POLARX5
13,ALIC00AUS,-4052052.7352,4212835.9833,-2545104.5853,-23.670111111111105,133.88552222222222,603.2,SEPT POLARX5
14,AMC400USA,-1248596.405,-4819428.21,3976505.93,38.803125,-104.5245972222222,1911.3941,SEPT POLARX5TR
15,ANK200TUR,4124040.177,2655251.841,4065428.467,39.84279722222223,32.775347222222216,1294.3,TRIMBLE NETR9
16,ANMG00MYS,-1270826.87,6242631.446,307792.439,2.784648333333333,101.50660222222224,15.002,TRIMBLE NETR9
17,ANTC00CHL,1608539.0,-4816370.0,-3847799.0,-37.33870277777779,-71.53205000000001,745.4,SEPT POLARX5
18,ANTF00CHL,1958240.723,-5505483.304,-2548076.547,-23.70153055555556,-70.42007777777778,68.4,STONEX SC2200
19,AREG00PER,1942816.3653,-5804077.1395,-1796884.4383,-16.465423315555558,-71.49290413638887,2489.337,SEPT POLARX5
20,AREQ00PER,1942826.192,-5804070.331,-1796894.267,-16.465517,-71.49279666666666,2488.9226,SEPT POLARX5
21,ARHT00ATA,-1312626.536,311171.129,-6213081.915,-77.82943611111111,166.66365277777777,135.328,JAVAD TRE_3 DELTA
22,ARUC00ARM,3500416.7822,3390432.6839,4103027.5848,40.28572222222221,44.08558333333333,1222.0,SEPT POLARX5
23,ASCG00SHN,6121151.578,-1563978.904,-872615.417,-7.916280555555557,-14.332663888888886,38.0,TRIMBLE ALLOY
24,AUCK00NZL,-5105681.0,461564.0,-3782181.7,-36.6028,174.8344,132.711,TRIMBLE ALLOY
25,BADG00RUS,-838281.513,3865777.334,4987624.632,51.76970555555556,102.23498055555558,811.4,JAVAD TRE_3 DELTA
26,BAKE00CAN,-289833.93,-2756501.06,5725162.22,64.31781944444444,-96.00234444444445,4.4,SEPT POLARX5S
27,BAKO00IDN,-1836969.054,6065617.126,-716257.839,-6.489999999999999,106.85,158.18,LEICA GR50
28,BAMF00CAN,-2420721.2,-3439856.061,4778532.675,48.83531666666668,-125.13508888888892,11.1,SEPT POLARX5
