,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,1I,39.7,21021.0,161.0,0.0,,,,,40.1,11682.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,28362.0,7.0,0.0,40.4,20783.0,64.0,0.0,,,,,,,,,,,,,,,,,,,,,41.1,30001.0,43.0,0.0,,,,,,,,,,,,,41.9,27524.0,14.0,0.0,41.5,4167.0,78.0,0.0,41.7,23220.0,50.0,0.0,41.2,21438.0,39.0,0.0,,,,,,,,,40.1,15686.0,103.0,0.0,38.1,22164.0,204.0,0.0,39.8,15288.0,35.0,0.0,44.8,23410.0,18.0,0.0,,,,,,,,,,,,,42.7,28302.0,9.0,0.0,40.6,27503.0,23.0,0.0
C,7I,42.0,20489.0,76.0,0.0,42.3,7555.0,13.0,0.4,42.6,11661.0,10.0,0.0,45.6,29053.0,19.0,0.11,39.2,28220.0,16.0,0.24,39.5,8671.0,65.0,0.5,41.7,14240.0,207.0,0.44,44.1,23015.0,25.0,0.13,46.5,23026.0,16.0,0.12,,,,,44.6,28293.0,54.0,0.0,43.5,20660.0,123.0,0.0,44.9,8502.0,21.0,0.34,45.8,3587.0,4.0,0.27,41.7,16791.0,50.0,0.26,41.0,6822.0,5.0,0.38,46.0,3502.0,5.0,0.25,43.8,29865.0,129.0,0.0,,,,,45.2,28397.0,21.0,0.25,45.5,6438.0,16.0,0.36,44.8,27471.0,38.0,0.0,43.8,4132.0,90.0,0.0,44.3,23157.0,72.0,0.0,43.0,21403.0,52.0,0.0,43.1,9851.0,7.0,0.36,45.4,7575.0,18.0,0.25,42.9,15505.0,106.0,0.0,42.3,21945.0,331.0,0.0,42.7,15220.0,61.0,0.0,45.9,23165.0,20.0,0.0,42.9,7238.0,16.0,0.37,42.1,19605.0,21.0,0.39,40.9,13721.0,14.0,0.3,45.2,28285.0,17.0,0.0,43.8,27614.0,21.0,0.0
E,1X,42.6,4621.0,5.0,0.23,,,,,45.1,6282.0,2.0,0.27,,,,,42.8,10287.0,16.0,0.23,45.4,9213.0,10.0,0.35,44.9,9773.0,24.0,0.27,,,,,,,,,,,,,41.7,4933.0,10.0,0.33,44.6,7286.0,9.0,0.35,,,,,,,,,,,,,,,,,,,,,42.1,5545.0,18.0,0.32,,,,,,,,,,,,,42.9,3953.0,7.0,0.34,51.3,740.0,0.0,0.12,42.9,7528.0,19.0,0.61,44.8,7075.0,10.0,0.52,,,,,,,,,44.6,7155.0,8.0,0.26,41.6,6630.0,7.0,0.4,44.6,6484.0,24.0,0.39,,,,,,,,,46.1,8043.0,8.0,0.31,,,,,41.5,5297.0,8.0,0.32,,,,
E,5X,41.7,3392.0,5.0,0.2,,,,,46.2,5267.0,2.0,0.23,,,,,42.7,8884.0,14.0,0.28,45.5,8321.0,8.0,0.35,45.5,8798.0,17.0,0.39,,,,,,,,,,,,,42.8,3446.0,9.0,0.26,46.7,5735.0,10.0,0.3,,,,,,,,,,,,,,,,,,,,,43.8,4095.0,9.0,0.26,,,,,,,,,,,,,44.4,2747.0,5.0,0.31,53.3,740.0,0.0,0.16,45.2,5948.0,19.0,0.53,45.7,5747.0,11.0,0.45,,,,,,,,,47.2,5825.0,7.0,0.25,45.3,5335.0,10.0,0.35,46.7,5306.0,33.0,0.42,,,,,,,,,46.5,7045.0,8.0,0.33,,,,,42.0,3828.0,5.0,0.24,,,,
E,7X,41.9,3393.0,4.0,0.0,,,,,45.8,5266.0,2.0,0.0,,,,,41.7,8883.0,13.0,0.0,45.1,8321.0,8.0,0.0,45.8,8798.0,17.0,0.0,,,,,,,,,,,,,42.6,3447.0,9.0,0.0,47.1,5739.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,43.4,4095.0,9.0,0.0,,,,,,,,,,,,,43.9,2747.0,5.0,0.0,52.5,740.0,0.0,0.0,44.9,5947.0,19.0,0.0,45.4,5746.0,11.0,0.0,,,,,,,,,46.4,5825.0,7.0,0.0,44.0,5335.0,10.0,0.0,46.1,5315.0,28.0,0.0,,,,,,,,,45.7,7043.0,8.0,0.0,,,,,42.9,3828.0,5.0,0.0,,,,
E,8X,46.3,3393.0,4.0,0.0,,,,,51.9,5178.0,2.0,0.0,,,,,48.0,8883.0,13.0,0.0,51.1,8285.0,9.0,0.0,51.7,8798.0,17.0,0.0,,,,,,,,,,,,,47.4,3447.0,9.0,0.0,51.5,5723.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,49.6,4095.0,9.0,0.0,,,,,,,,,,,,,49.0,2745.0,5.0,0.0,57.4,740.0,0.0,0.0,50.9,5947.0,19.0,0.0,50.2,5747.0,11.0,0.0,,,,,,,,,52.7,5825.0,7.0,0.0,50.2,5336.0,10.0,0.0,52.2,5315.0,30.0,0.0,,,,,,,,,51.8,7046.0,8.0,0.0,,,,,47.3,3827.0,5.0,0.0,,,,
G,1C,44.4,34968.0,53.0,0.43,44.7,27840.0,90.0,0.39,44.6,29364.0,38.0,0.53,42.1,32894.0,183.0,0.21,42.8,33287.0,91.0,0.37,45.0,29125.0,75.0,0.59,45.0,30737.0,105.0,0.4,47.3,30368.0,77.0,0.28,47.7,29004.0,40.0,0.3,47.6,34092.0,69.0,0.32,43.8,32154.0,115.0,0.53,43.8,31211.0,258.0,0.71,44.0,32507.0,135.0,0.41,43.2,32991.0,130.0,0.33,42.5,33557.0,155.0,0.36,45.4,30408.0,91.0,0.4,45.7,30134.0,60.0,0.31,43.2,31676.0,105.0,0.64,47.6,30698.0,113.0,0.19,44.1,27503.0,90.0,0.39,48.0,31432.0,84.0,0.24,44.6,27723.0,152.0,0.57,43.8,3879.0,7.0,0.53,43.3,29536.0,242.0,0.88,44.1,28897.0,226.0,0.84,44.8,28405.0,64.0,0.37,47.9,33141.0,51.0,0.25,43.7,32200.0,217.0,0.61,41.1,29904.0,108.0,0.71,43.2,28315.0,457.0,0.79,45.4,31505.0,73.0,0.35,45.0,26245.0,122.0,0.41,45.0,28561.0,71.0,0.6,48.0,30465.0,75.0,0.27,43.4,32230.0,89.0,0.58,41.5,29669.0,52.0,0.23
G,2W,29.8,34112.0,108.0,0.37,31.9,27662.0,74.0,0.28,30.7,28562.0,58.0,0.35,31.0,31537.0,52.0,0.14,28.8,32554.0,191.0,0.36,30.9,27791.0,89.0,0.42,31.9,30145.0,116.0,0.41,39.0,30230.0,121.0,0.24,40.8,28956.0,50.0,0.23,41.1,34049.0,79.0,0.26,30.3,30753.0,160.0,0.38,30.2,29568.0,152.0,0.41,29.7,32149.0,119.0,0.3,27.7,32578.0,89.0,0.25,27.1,33108.0,95.0,0.36,32.2,30152.0,66.0,0.23,32.1,30039.0,51.0,0.17,29.0,30157.0,215.0,0.41,41.3,30534.0,127.0,0.17,31.4,27367.0,80.0,0.24,41.9,31382.0,82.0,0.21,31.9,26267.0,101.0,0.39,29.7,3771.0,6.0,0.35,30.1,27151.0,158.0,0.49,30.6,26915.0,121.0,0.49,31.9,28295.0,60.0,0.24,41.6,33108.0,55.0,0.21,30.0,30547.0,224.0,0.4,26.4,26805.0,88.0,0.42,30.2,25128.0,406.0,0.51,32.5,31134.0,88.0,0.17,32.7,25933.0,79.0,0.32,30.7,27619.0,90.0,0.41,41.9,30383.0,79.0,0.22,29.7,31332.0,192.0,0.39,25.7,29317.0,28.0,0.12
G,2X,43.4,20306.0,52.0,0.36,,,,,43.4,17157.0,51.0,0.45,,,,,41.8,19855.0,88.0,0.33,43.5,16388.0,61.0,0.47,43.8,17766.0,89.0,0.38,,,,,,,,,,,,,43.4,18302.0,134.0,0.43,43.6,17376.0,192.0,0.57,,,,,,,,,,,,,,,,,,,,,42.7,18351.0,125.0,0.49,,,,,,,,,,,,,44.2,15822.0,143.0,0.48,42.7,2397.0,11.0,0.43,43.4,16950.0,183.0,0.63,43.1,16442.0,161.0,0.66,,,,,,,,,42.8,19010.0,195.0,0.54,42.3,17145.0,110.0,0.52,42.6,15920.0,471.0,0.64,,,,,,,,,,,,,,,,,43.5,18433.0,102.0,0.46,,,,
G,5X,47.3,12383.0,32.0,0.0,,,,,49.0,10221.0,40.0,0.0,,,,,45.8,12294.0,65.0,0.0,49.4,9829.0,41.0,0.0,49.1,10702.0,49.0,0.0,,,,,,,,,,,,,49.5,10558.0,76.0,0.0,48.9,11132.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,48.9,10629.0,82.0,0.0,,,,,,,,,,,,,50.7,9231.0,82.0,0.0,50.3,1073.0,8.0,0.0,48.9,10973.0,128.0,0.0,48.0,10693.0,111.0,0.0,,,,,,,,,48.8,11764.0,140.0,0.0,47.3,11082.0,79.0,0.0,47.9,9976.0,269.0,0.0,,,,,,,,,48.2,10594.0,47.0,0.0,,,,,48.6,10749.0,48.0,0.0,,,,
