,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,39.2,11724.0,17.0,0.47,,,,,38.8,8228.0,41.0,0.6,,,,,43.7,26971.0,4.0,0.17,41.3,27371.0,449.0,0.56,38.9,8067.0,16.0,0.61,39.0,13778.0,167.0,0.51,45.5,23033.0,18.0,0.15,46.0,22880.0,19.0,0.13,,,,,,,,,,,,,41.6,13816.0,70.0,0.49,44.5,2380.0,11.0,0.4,,,,,,,,,40.7,22702.0,81.0,0.4,42.4,6772.0,12.0,0.49,,,,,47.4,2465.0,5.0,0.3,,,,,,,,,,,,,,,,,43.8,33452.0,41.0,0.29,41.4,5590.0,26.0,0.45,,,,,,,,,,,,,,,,,40.7,11285.0,22.0,0.47,41.4,6887.0,14.0,0.28,,,,,,,,,,,,,,,,,,,,,39.6,7927.0,24.0,0.5,40.4,20042.0,35.0,0.56,41.9,12488.0,26.0,0.35,,,,,,,,
C,7I,42.4,9782.0,11.0,0.22,41.7,23551.0,116.0,0.0,41.7,6877.0,12.0,0.43,42.3,11916.0,14.0,0.0,45.7,26076.0,2.0,0.12,41.3,26606.0,526.0,0.6,39.3,8005.0,40.0,0.45,40.8,13701.0,208.0,0.43,43.7,23030.0,19.0,0.15,46.5,22880.0,19.0,0.1,,,,,44.7,31898.0,25.0,0.0,43.4,20885.0,82.0,0.0,42.0,11387.0,48.0,0.35,46.4,2385.0,14.0,0.3,42.7,20261.0,204.0,0.0,43.5,22525.0,56.0,0.0,41.8,17313.0,51.0,0.25,40.1,6047.0,8.0,0.43,44.7,2893.0,96.0,0.0,47.7,2471.0,2.0,0.2,45.0,23949.0,16.0,0.0,44.1,30970.0,65.0,0.0,,,,,41.9,15955.0,193.0,0.0,45.4,28934.0,20.0,0.24,44.9,5590.0,26.0,0.34,44.9,28341.0,29.0,0.0,44.3,27334.0,648.0,0.0,44.3,23228.0,77.0,0.0,42.8,21726.0,73.0,0.0,42.8,9261.0,13.0,0.35,44.7,6883.0,15.0,0.25,42.0,1457.0,6.0,0.0,42.9,1998.0,4.0,0.0,42.3,15466.0,45.0,0.0,46.1,19822.0,9.0,0.0,42.8,1859.0,31.0,0.0,42.5,6698.0,10.0,0.36,42.0,20012.0,49.0,0.43,40.5,12471.0,32.0,0.38,45.5,31981.0,7.0,0.0,43.9,28118.0,30.0,0.0
E,1C,42.3,9251.0,31.0,0.17,,,,,44.2,7956.0,30.0,0.25,,,,,40.4,3864.0,1.0,0.14,,,,,,,,,,,,,48.8,5787.0,22.0,0.36,49.0,5728.0,10.0,0.3,49.6,9606.0,16.0,0.34,,,,,,,,,43.5,10026.0,47.0,0.34,43.0,7777.0,27.0,0.23,,,,,41.0,10457.0,68.0,0.4,42.2,9214.0,45.0,0.23,45.0,8939.0,25.0,0.3,,,,,46.0,7238.0,9.0,0.2,43.2,8439.0,22.0,0.11,,,,,49.7,9167.0,8.0,0.19,,,,,43.2,8276.0,29.0,0.28,49.9,7679.0,51.0,0.41,,,,,,,,,,,,,,,,,44.1,8552.0,26.0,0.23,49.6,8997.0,15.0,0.27,,,,,,,,,,,,,42.6,4555.0,1.0,0.19,,,,,44.7,7590.0,22.0,0.26,,,,,49.9,7896.0,15.0,0.28,,,,,39.4,9064.0,24.0,0.08
E,5Q,44.8,8767.0,12.0,0.14,,,,,45.1,7707.0,20.0,0.23,,,,,39.5,3358.0,5.0,0.1,,,,,,,,,,,,,45.9,5741.0,27.0,0.4,47.8,5720.0,12.0,0.29,48.3,9148.0,21.0,0.33,,,,,,,,,44.0,9352.0,21.0,0.29,42.4,7227.0,33.0,0.21,,,,,42.8,9122.0,46.0,0.32,42.3,8745.0,40.0,0.19,44.0,8200.0,28.0,0.21,,,,,43.1,6495.0,17.0,0.17,28.8,1387.0,50.0,0.21,,,,,47.9,8839.0,17.0,0.21,,,,,43.6,7373.0,19.0,0.23,48.3,7649.0,58.0,0.37,,,,,,,,,,,,,,,,,45.3,7924.0,11.0,0.18,48.1,8779.0,16.0,0.19,,,,,,,,,,,,,42.2,3316.0,2.0,0.14,,,,,45.6,7412.0,17.0,0.28,,,,,48.4,7874.0,20.0,0.24,,,,,32.8,3772.0,60.0,0.16
E,7Q,45.1,8768.0,16.0,0.0,,,,,45.0,7698.0,23.0,0.0,,,,,41.0,2759.0,1.0,0.0,,,,,,,,,,,,,44.9,5677.0,55.0,0.0,47.4,5724.0,12.0,0.0,49.7,9153.0,15.0,0.0,,,,,,,,,43.9,9347.0,25.0,0.0,42.7,7233.0,28.0,0.0,,,,,42.8,9106.0,45.0,0.0,43.1,8767.0,37.0,0.0,44.3,8200.0,32.0,0.0,,,,,44.2,6501.0,17.0,0.0,44.0,7596.0,25.0,0.0,,,,,49.3,8855.0,10.0,0.0,,,,,44.0,7391.0,20.0,0.0,49.7,7654.0,58.0,0.0,,,,,,,,,,,,,,,,,45.4,7925.0,12.0,0.0,49.4,8780.0,13.0,0.0,,,,,,,,,,,,,43.1,2484.0,1.0,0.0,,,,,45.8,7405.0,16.0,0.0,,,,,47.9,7881.0,18.0,0.0,,,,,41.9,8386.0,20.0,0.0
E,8Q,47.9,8807.0,10.0,0.0,,,,,48.0,7745.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,41.2,5694.0,17.0,0.0,44.1,5726.0,10.0,0.0,45.5,9126.0,27.0,0.0,,,,,,,,,46.9,9401.0,12.0,0.0,45.3,7325.0,16.0,0.0,,,,,45.8,9121.0,27.0,0.0,45.6,8788.0,19.0,0.0,47.1,8250.0,13.0,0.0,,,,,46.6,6505.0,12.0,0.0,47.2,2480.0,1.0,0.0,,,,,45.0,8863.0,7.0,0.0,,,,,46.7,7441.0,9.0,0.0,45.5,7661.0,52.0,0.0,,,,,,,,,,,,,,,,,48.2,7973.0,9.0,0.0,45.3,8777.0,15.0,0.0,,,,,,,,,,,,,45.8,1263.0,0.0,0.0,,,,,48.5,7482.0,11.0,0.0,,,,,44.9,7894.0,15.0,0.0,,,,,44.9,4758.0,9.0,0.0
G,1C,43.1,31566.0,81.0,0.27,44.4,34944.0,66.0,0.42,44.5,28101.0,110.0,0.38,44.6,28837.0,35.0,0.53,42.1,32672.0,175.0,0.22,42.9,33011.0,78.0,0.38,44.9,29100.0,71.0,0.61,44.6,30593.0,85.0,0.38,47.4,30192.0,102.0,0.33,47.9,28571.0,52.0,0.3,47.6,33712.0,69.0,0.29,43.7,32048.0,110.0,0.53,43.9,30637.0,171.0,0.69,44.2,32682.0,205.0,0.45,43.3,32479.0,142.0,0.35,43.8,30078.0,261.0,0.64,42.8,32001.0,137.0,0.43,43.1,33439.0,147.0,0.31,45.4,30364.0,83.0,0.39,43.8,4200.0,7.0,0.48,45.8,29835.0,59.0,0.33,44.0,27848.0,75.0,0.31,43.3,31570.0,125.0,0.64,47.5,30666.0,119.0,0.2,44.0,30417.0,190.0,0.58,44.3,27295.0,107.0,0.4,48.0,31250.0,82.0,0.22,44.6,27805.0,122.0,0.58,43.2,32807.0,144.0,0.6,43.4,28918.0,264.0,0.88,44.0,28620.0,208.0,0.82,44.8,28334.0,63.0,0.37,47.8,32943.0,67.0,0.27,43.5,3545.0,27.0,0.71,42.0,3045.0,4.0,0.69,43.2,27821.0,302.0,0.79,45.3,31370.0,68.0,0.35,43.7,3973.0,8.0,0.67,44.9,26133.0,123.0,0.41,45.1,28312.0,78.0,0.56,47.9,30242.0,66.0,0.26,43.4,32107.0,95.0,0.62,41.5,29432.0,85.0,0.27
G,1W,29.7,31465.0,69.0,0.28,,,,,31.5,27879.0,83.0,0.39,,,,,30.7,31583.0,72.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,32408.0,168.0,0.44,27.7,32082.0,117.0,0.36,,,,,28.8,31777.0,118.0,0.43,28.2,33045.0,97.0,0.33,32.2,30098.0,81.0,0.39,,,,,32.3,29743.0,52.0,0.34,31.2,27740.0,73.0,0.31,,,,,,,,,,,,,31.7,27161.0,77.0,0.4,,,,,,,,,,,,,,,,,,,,,32.0,28249.0,58.0,0.37,,,,,,,,,,,,,,,,,32.3,30944.0,79.0,0.34,,,,,32.7,25800.0,80.0,0.41,,,,,,,,,,,,,25.9,29076.0,52.0,0.26
G,2L,41.3,18170.0,54.0,0.3,,,,,42.1,15594.0,69.0,0.39,,,,,41.5,16491.0,104.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,18980.0,158.0,0.44,39.5,18779.0,145.0,0.37,,,,,41.0,18465.0,97.0,0.42,40.1,19476.0,96.0,0.31,41.7,16842.0,66.0,0.34,,,,,41.1,17060.0,68.0,0.32,41.2,16579.0,51.0,0.36,,,,,,,,,,,,,41.6,16072.0,68.0,0.41,,,,,,,,,,,,,,,,,,,,,42.1,15822.0,81.0,0.38,,,,,,,,,,,,,,,,,41.0,16793.0,45.0,0.36,,,,,42.6,14624.0,78.0,0.4,,,,,,,,,,,,,39.4,16989.0,52.0,0.32
