,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,AREG00PER,AREG00PER,AREG00PER,AREG00PER,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MAYG00MYT,MAYG00MYT,MAYG00MYT,MAYG00MYT,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,METG00FIN,METG00FIN,METG00FIN,METG00FIN,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NKLG00GAB,NKLG00GAB,NKLG00GAB,NKLG00GAB,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REUN00REU,REUN00REU,REUN00REU,REUN00REU,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SEYG00SYC,SEYG00SYC,SEYG00SYC,SEYG00SYC,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,40.6,3863.0,47.0,0.41,44.6,3564.0,6.0,0.32,40.0,5596.0,52.0,0.51,39.6,8693.0,13.0,0.41,39.5,11880.0,12.0,0.46,,,,,39.2,8693.0,37.0,0.63,45.7,3063.0,13.0,0.34,42.9,22921.0,24.0,0.17,,,,,43.8,27475.0,2.0,0.18,41.3,27145.0,1141.0,1.03,39.7,20896.0,122.0,0.39,39.1,13731.0,94.0,0.42,39.2,8416.0,17.0,0.62,37.7,16082.0,25.0,0.38,38.7,12638.0,290.0,0.58,40.3,10547.0,118.0,0.18,45.5,22904.0,31.0,0.19,46.0,22922.0,17.0,0.14,,,,,41.2,28454.0,61.0,0.32,,,,,,,,,43.9,10683.0,43.0,0.45,41.9,3856.0,12.0,0.34,44.1,3470.0,3.0,0.38,41.6,20701.0,116.0,0.26,,,,,42.3,4079.0,21.0,0.46,,,,,40.4,22429.0,57.0,0.4,38.7,7174.0,101.0,0.82,42.6,7100.0,14.0,0.53,39.6,24483.0,67.0,0.5,,,,,40.2,13533.0,101.0,0.42,46.5,3274.0,9.0,0.34,,,,,,,,,,,,,,,,,38.2,8671.0,447.0,0.79,43.9,33118.0,47.0,0.29,41.9,6710.0,24.0,0.35,,,,,,,,,,,,,,,,,40.9,11588.0,21.0,0.48,40.6,16714.0,254.0,0.45,42.0,7586.0,27.0,0.32,40.9,5926.0,17.0,0.41,,,,,40.2,24129.0,28.0,0.33,,,,,44.2,3806.0,30.0,0.4,40.4,9658.0,265.0,0.65,39.4,9724.0,14.0,0.43,39.9,11210.0,22.0,0.43,,,,,,,,,,,,,39.9,8222.0,14.0,0.52,40.4,19917.0,25.0,0.55,42.0,13048.0,19.0,0.3,,,,,,,,,43.7,9268.0,5.0,0.45
C,7I,47.3,3862.0,47.0,0.52,46.1,3560.0,8.0,0.24,41.1,5549.0,85.0,0.43,39.7,8657.0,22.0,0.33,42.8,9922.0,10.0,0.22,41.6,23748.0,132.0,0.0,41.8,7382.0,11.0,0.44,47.1,3032.0,24.0,0.26,48.2,22921.0,24.0,0.14,42.4,12077.0,10.0,0.0,45.5,27475.0,2.0,0.12,39.6,24654.0,1933.0,0.97,39.9,20724.0,200.0,0.3,42.4,13667.0,118.0,0.32,39.4,8371.0,28.0,0.45,41.8,15980.0,69.0,0.25,40.3,12541.0,308.0,0.51,41.3,9575.0,28.0,0.21,43.6,22897.0,35.0,0.18,46.4,22922.0,17.0,0.12,,,,,44.3,28387.0,101.0,0.24,44.8,31721.0,41.0,0.0,43.7,20838.0,79.0,0.0,44.9,8307.0,28.0,0.36,47.5,3855.0,12.0,0.34,46.1,3479.0,4.0,0.29,46.1,20658.0,138.0,0.27,42.8,20135.0,162.0,0.0,43.7,4053.0,25.0,0.41,43.5,22883.0,42.0,0.0,41.6,17034.0,29.0,0.25,44.6,7174.0,101.0,0.92,40.7,6376.0,15.0,0.44,42.4,24339.0,125.0,0.36,44.6,25535.0,368.0,0.0,41.7,13063.0,105.0,0.34,46.6,3276.0,8.0,0.26,45.3,23484.0,12.0,0.0,44.0,30678.0,113.0,0.0,,,,,42.1,15705.0,135.0,0.0,41.5,8584.0,470.0,0.64,45.5,28566.0,15.0,0.24,45.6,6707.0,25.0,0.33,45.1,28092.0,23.0,0.0,43.9,3285.0,58.0,0.0,44.3,23076.0,78.0,0.0,42.8,21839.0,70.0,0.0,43.1,9559.0,12.0,0.34,44.3,16413.0,316.0,0.36,45.3,7582.0,29.0,0.31,40.5,5867.0,43.0,0.32,42.7,15975.0,59.0,0.0,42.2,24032.0,81.0,0.24,42.9,23159.0,97.0,0.0,46.4,3365.0,15.0,0.26,43.9,9656.0,265.0,0.69,40.9,9700.0,23.0,0.33,41.7,9291.0,11.0,0.28,42.6,15330.0,26.0,0.0,46.0,19736.0,21.0,0.0,42.5,18455.0,415.0,0.0,42.9,7001.0,7.0,0.33,42.0,19890.0,37.0,0.41,40.8,13043.0,19.0,0.31,45.1,31741.0,14.0,0.0,44.0,28043.0,24.0,0.0,44.1,7723.0,5.0,0.24
E,1C,46.8,6975.0,52.0,0.45,,,,,,,,,,,,,41.7,8005.0,13.0,0.18,,,,,43.1,7016.0,31.0,0.33,,,,,47.8,4244.0,0.0,0.33,,,,,40.3,3416.0,5.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,47.8,6857.0,13.0,0.2,49.5,7701.0,17.0,0.31,49.8,7284.0,7.0,0.26,49.4,8900.0,26.0,0.35,,,,,,,,,,,,,42.8,8488.0,44.0,0.31,48.8,7724.0,25.0,0.46,42.1,8986.0,70.0,0.3,49.8,7387.0,52.0,0.29,,,,,,,,,41.5,10169.0,18.0,0.3,43.3,8371.0,4.0,0.2,47.8,5763.0,18.0,0.27,45.0,7530.0,19.0,0.35,,,,,,,,,,,,,44.8,9613.0,11.0,0.24,42.4,9126.0,21.0,0.11,,,,,49.6,7460.0,7.0,0.22,,,,,,,,,44.5,8079.0,20.0,0.27,49.8,8529.0,29.0,0.33,,,,,,,,,,,,,,,,,43.8,7236.0,15.0,0.28,,,,,49.6,8040.0,14.0,0.3,,,,,,,,,,,,,,,,,45.1,7996.0,18.0,0.19,49.0,7426.0,19.0,0.33,,,,,42.7,7854.0,12.0,0.19,,,,,42.2,4470.0,5.0,0.28,,,,,43.6,6665.0,28.0,0.3,,,,,49.6,7138.0,8.0,0.3,,,,,41.3,8350.0,17.0,0.09,44.7,10285.0,15.0,0.18
E,5Q,46.7,6959.0,56.0,0.61,,,,,,,,,,,,,43.9,7467.0,14.0,0.15,,,,,43.6,6395.0,27.0,0.27,,,,,45.8,4060.0,5.0,0.34,,,,,40.3,3441.0,7.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,47.2,6478.0,15.0,0.24,46.6,7491.0,27.0,0.3,48.7,7168.0,7.0,0.24,48.0,8209.0,28.0,0.36,,,,,,,,,,,,,43.3,7851.0,29.0,0.29,47.3,7709.0,31.0,0.46,42.0,7705.0,53.0,0.28,47.9,7357.0,63.0,0.33,,,,,,,,,43.2,9275.0,27.0,0.24,43.3,8132.0,13.0,0.14,47.8,5528.0,18.0,0.36,43.8,6577.0,39.0,0.21,,,,,,,,,,,,,42.3,8124.0,24.0,0.2,29.9,1142.0,31.0,0.21,,,,,48.2,6900.0,12.0,0.24,,,,,,,,,44.5,8091.0,21.0,0.21,48.4,8115.0,30.0,0.31,,,,,,,,,,,,,,,,,44.3,6658.0,6.0,0.24,,,,,48.0,7830.0,19.0,0.23,,,,,,,,,,,,,,,,,43.7,6962.0,12.0,0.17,47.1,7420.0,22.0,0.34,,,,,43.5,7293.0,8.0,0.16,,,,,42.1,3305.0,7.0,0.22,,,,,44.2,6125.0,26.0,0.3,,,,,48.0,6696.0,10.0,0.26,,,,,33.0,5425.0,46.0,0.17,43.1,8899.0,12.0,0.15
E,7Q,49.4,6969.0,55.0,0.0,,,,,,,,,,,,,44.2,7464.0,13.0,0.0,,,,,43.5,6404.0,40.0,0.0,,,,,47.7,4067.0,0.0,0.0,,,,,41.1,3370.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,47.3,6484.0,16.0,0.0,45.6,7608.0,31.0,0.0,48.3,7274.0,8.0,0.0,49.4,8211.0,28.0,0.0,,,,,,,,,,,,,43.3,7841.0,24.0,0.0,48.8,7716.0,31.0,0.0,42.2,7748.0,53.0,0.0,49.6,7370.0,57.0,0.0,,,,,,,,,42.9,9248.0,24.0,0.0,44.2,8143.0,10.0,0.0,49.6,5528.0,17.0,0.0,44.1,6586.0,41.0,0.0,,,,,,,,,,,,,43.3,8144.0,19.0,0.0,43.5,8605.0,8.0,0.0,,,,,49.5,6926.0,8.0,0.0,,,,,,,,,44.9,8086.0,20.0,0.0,49.8,8119.0,27.0,0.0,,,,,,,,,,,,,,,,,44.5,6657.0,6.0,0.0,,,,,49.3,7845.0,15.0,0.0,,,,,,,,,,,,,,,,,44.4,6962.0,12.0,0.0,48.7,7422.0,20.0,0.0,,,,,43.1,7271.0,10.0,0.0,,,,,43.0,2975.0,7.0,0.0,,,,,44.4,6129.0,30.0,0.0,,,,,47.5,6693.0,8.0,0.0,,,,,43.0,8372.0,14.0,0.0,44.0,8910.0,12.0,0.0
E,8Q,44.3,5384.0,1039.0,0.0,,,,,,,,,,,,,47.0,7501.0,8.0,0.0,,,,,46.3,6490.0,25.0,0.0,,,,,42.7,4066.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,6428.0,21.0,0.0,41.9,7687.0,18.0,0.0,45.1,7282.0,7.0,0.0,45.2,8188.0,42.0,0.0,,,,,,,,,,,,,46.1,7941.0,18.0,0.0,44.3,7707.0,30.0,0.0,44.8,7850.0,29.0,0.0,45.4,7373.0,53.0,0.0,,,,,,,,,46.0,9367.0,11.0,0.0,46.7,8177.0,7.0,0.0,45.8,5324.0,108.0,0.0,46.8,6625.0,25.0,0.0,,,,,,,,,,,,,45.8,8168.0,10.0,0.0,46.7,1940.0,1.0,0.0,,,,,45.2,6932.0,7.0,0.0,,,,,,,,,47.6,8151.0,11.0,0.0,45.6,8121.0,26.0,0.0,,,,,,,,,,,,,,,,,47.4,6671.0,7.0,0.0,,,,,45.1,7829.0,19.0,0.0,,,,,,,,,,,,,,,,,47.0,6988.0,11.0,0.0,43.6,7406.0,20.0,0.0,,,,,46.3,7263.0,12.0,0.0,,,,,47.6,1030.0,0.0,0.0,,,,,47.0,6230.0,15.0,0.0,,,,,44.3,6703.0,6.0,0.0,,,,,44.9,6320.0,9.0,0.0,46.6,8867.0,9.0,0.0
G,1C,44.6,31987.0,347.0,0.34,44.6,30132.0,84.0,0.34,42.7,30499.0,173.0,0.42,44.6,29019.0,77.0,0.4,43.1,30789.0,76.0,0.25,44.3,33852.0,62.0,0.43,44.5,27355.0,105.0,0.38,44.4,29003.0,143.0,0.42,47.0,32464.0,93.0,0.32,44.6,28423.0,40.0,0.53,42.1,31897.0,181.0,0.23,42.8,31980.0,119.0,0.38,43.1,32712.0,90.0,0.36,44.5,28771.0,46.0,0.3,44.9,28279.0,87.0,0.6,42.5,27754.0,123.0,0.41,43.6,29710.0,80.0,0.44,45.7,29223.0,125.0,0.27,47.4,29502.0,76.0,0.3,47.8,28168.0,33.0,0.3,47.7,33128.0,57.0,0.28,44.9,27675.0,89.0,0.36,43.8,31060.0,169.0,0.54,43.9,30339.0,220.0,0.68,44.2,31281.0,158.0,0.42,47.4,32613.0,40.0,0.35,43.4,31544.0,118.0,0.34,47.8,30795.0,183.0,0.26,43.9,29563.0,269.0,0.63,43.6,33001.0,182.0,0.45,42.8,31628.0,122.0,0.45,43.0,32079.0,133.0,0.32,45.8,25924.0,150.0,0.24,45.4,29544.0,101.0,0.44,43.4,32271.0,124.0,0.46,43.7,31263.0,141.0,0.47,44.8,30573.0,209.0,0.42,45.7,29269.0,49.0,0.3,44.0,27258.0,71.0,0.33,43.2,30681.0,139.0,0.65,47.3,29690.0,117.0,0.21,44.0,29923.0,169.0,0.59,41.9,32012.0,106.0,0.47,44.3,26508.0,97.0,0.42,48.0,30743.0,86.0,0.26,44.7,27042.0,143.0,0.57,43.3,3504.0,11.0,0.61,43.4,28519.0,269.0,0.84,44.0,28206.0,204.0,0.8,44.8,27614.0,80.0,0.37,44.9,28703.0,104.0,0.37,48.0,32698.0,58.0,0.31,43.9,32465.0,97.0,0.36,43.8,31114.0,175.0,0.61,42.9,29853.0,60.0,0.33,41.9,29264.0,104.0,0.7,46.2,27908.0,84.0,0.21,47.3,30536.0,140.0,0.3,44.2,29978.0,90.0,0.4,43.5,29243.0,64.0,0.26,43.3,27433.0,272.0,0.82,45.3,30918.0,73.0,0.35,43.6,31275.0,106.0,0.65,44.9,25418.0,126.0,0.41,45.0,27788.0,84.0,0.6,47.9,29569.0,67.0,0.28,43.2,31158.0,93.0,0.59,42.0,28677.0,53.0,0.22,45.5,34007.0,51.0,0.23
G,2S,43.4,19399.0,210.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,19203.0,50.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,16806.0,84.0,0.19,42.7,17824.0,59.0,0.17,44.3,16974.0,21.0,0.14,,,,,,,,,,,,,,,,,,,,,43.9,19918.0,31.0,0.21,,,,,44.6,18093.0,136.0,0.17,,,,,,,,,,,,,,,,,45.5,15164.0,77.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,18566.0,55.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,44.4,19656.0,55.0,0.22,,,,,,,,,,,,,,,,,,,,,44.2,18568.0,72.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,17339.0,30.0,0.14,,,,,,,,,,,,
G,2W,40.2,31762.0,409.0,0.33,32.3,29515.0,146.0,0.3,27.3,28702.0,466.0,0.43,31.7,28290.0,114.0,0.4,29.8,30687.0,65.0,0.2,29.6,33025.0,120.0,0.36,31.4,27152.0,82.0,0.27,31.7,27772.0,265.0,0.42,40.7,32386.0,105.0,0.27,30.9,27581.0,71.0,0.36,30.7,30841.0,64.0,0.16,28.9,31250.0,220.0,0.36,29.8,31605.0,203.0,0.33,32.0,28128.0,93.0,0.3,30.9,26972.0,100.0,0.43,29.1,26342.0,120.0,0.33,28.7,28847.0,140.0,0.47,38.4,29063.0,193.0,0.23,39.1,29400.0,99.0,0.25,41.0,28130.0,40.0,0.22,41.4,33073.0,77.0,0.25,33.2,26764.0,112.0,0.39,30.3,29774.0,213.0,0.39,30.1,28969.0,125.0,0.39,30.0,30965.0,134.0,0.34,40.8,32572.0,60.0,0.28,27.9,31171.0,101.0,0.28,41.4,30647.0,224.0,0.19,30.3,27307.0,244.0,0.46,29.6,31993.0,503.0,0.45,28.8,31390.0,99.0,0.27,28.1,31739.0,86.0,0.32,41.8,25850.0,165.0,0.23,32.2,29316.0,81.0,0.24,30.4,31175.0,258.0,0.43,30.1,30081.0,298.0,0.42,32.1,29443.0,240.0,0.39,32.0,29166.0,50.0,0.16,31.2,27143.0,66.0,0.2,29.2,28740.0,222.0,0.43,41.0,29530.0,133.0,0.2,30.6,28648.0,219.0,0.39,28.4,30012.0,226.0,0.4,31.8,26357.0,85.0,0.24,42.0,30695.0,85.0,0.21,32.3,25621.0,96.0,0.4,29.0,3349.0,7.0,0.36,30.1,26310.0,131.0,0.48,30.4,26182.0,109.0,0.48,32.0,27506.0,70.0,0.23,32.4,27813.0,118.0,0.39,41.6,32642.0,84.0,0.26,30.5,31478.0,204.0,0.34,30.1,29604.0,215.0,0.38,29.1,29175.0,64.0,0.3,27.6,26868.0,93.0,0.42,33.7,27769.0,63.0,0.25,41.2,30400.0,150.0,0.25,31.9,28882.0,211.0,0.39,30.2,29176.0,63.0,0.26,30.2,24653.0,239.0,0.53,32.3,30484.0,67.0,0.19,28.8,29992.0,134.0,0.39,32.6,25097.0,84.0,0.31,30.6,26839.0,93.0,0.41,41.8,29502.0,74.0,0.23,29.2,30140.0,191.0,0.38,26.4,28392.0,33.0,0.13,32.5,33933.0,47.0,0.26
