,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,AREG00PER,AREG00PER,AREG00PER,AREG00PER,ASCG00SHN,ASCG00SHN,ASCG00SHN,ASCG00SHN,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MAYG00MYT,MAYG00MYT,MAYG00MYT,MAYG00MYT,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,METG00FIN,METG00FIN,METG00FIN,METG00FIN,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NKLG00GAB,NKLG00GAB,NKLG00GAB,NKLG00GAB,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SEYG00SYC,SEYG00SYC,SEYG00SYC,SEYG00SYC,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,40.4,3054.0,46.0,0.42,46.1,2854.0,1.0,0.26,39.0,5191.0,42.0,0.48,39.2,8268.0,21.0,0.44,39.1,11676.0,23.0,0.47,,,,,38.9,8278.0,43.0,0.61,45.6,2449.0,5.0,0.33,43.0,23023.0,27.0,0.17,,,,,43.6,30318.0,7.0,0.18,41.2,29839.0,71.0,1.37,39.9,21267.0,124.0,0.38,39.0,13710.0,90.0,0.43,38.9,8122.0,32.0,0.68,37.4,16526.0,30.0,0.38,38.5,13150.0,385.0,0.55,40.5,10367.0,92.0,0.22,45.5,23006.0,31.0,0.2,46.1,23024.0,17.0,0.14,,,,,41.9,29018.0,27.0,0.28,,,,,,,,,43.0,11774.0,37.0,0.47,42.3,2700.0,8.0,0.39,44.7,2483.0,9.0,0.32,41.7,21188.0,99.0,0.26,,,,,42.7,3043.0,10.0,0.41,,,,,40.4,22513.0,58.0,0.4,38.7,6937.0,147.0,0.91,42.4,6747.0,11.0,0.48,39.8,24680.0,99.0,0.47,,,,,40.1,13568.0,106.0,0.39,47.5,2495.0,14.0,0.29,,,,,,,,,,,,,,,,,38.0,8382.0,489.0,0.85,43.9,33945.0,27.0,0.29,41.5,6428.0,37.0,0.36,,,,,,,,,,,,,,,,,40.6,11202.0,20.0,0.49,41.6,7469.0,19.0,0.33,40.5,5431.0,19.0,0.47,,,,,40.4,24742.0,17.0,0.32,,,,,45.2,2799.0,18.0,0.41,40.4,9505.0,348.0,0.77,39.2,9335.0,31.0,0.45,39.7,10956.0,33.0,0.42,,,,,,,,,,,,,39.5,7926.0,16.0,0.51,40.4,20101.0,28.0,0.56,41.9,13027.0,29.0,0.35,,,,,,,,,43.9,9089.0,6.0,0.46
C,7I,47.1,3054.0,46.0,0.56,47.4,2850.0,4.0,0.21,39.8,5156.0,63.0,0.39,39.3,8229.0,39.0,0.35,42.3,9746.0,9.0,0.22,41.6,23974.0,168.0,0.0,41.5,6989.0,11.0,0.44,47.0,2434.0,13.0,0.25,48.3,23023.0,27.0,0.14,42.3,12026.0,17.0,0.0,45.7,30279.0,5.0,0.12,40.3,29709.0,164.0,1.19,39.9,21120.0,193.0,0.28,42.3,13646.0,122.0,0.31,39.1,8049.0,49.0,0.52,41.6,16399.0,110.0,0.24,40.0,13023.0,425.0,0.44,39.6,9354.0,35.0,0.27,43.9,23003.0,33.0,0.17,46.5,23024.0,17.0,0.11,,,,,44.6,28952.0,56.0,0.22,44.8,31973.0,13.0,0.0,43.7,21027.0,90.0,0.0,43.8,9418.0,28.0,0.37,47.8,2700.0,8.0,0.38,46.5,2497.0,9.0,0.26,46.3,21145.0,124.0,0.23,42.7,20310.0,202.0,0.0,43.9,3034.0,14.0,0.34,43.5,23071.0,55.0,0.0,41.7,17196.0,34.0,0.25,44.5,6935.0,149.0,1.08,40.1,6031.0,14.0,0.43,42.6,24501.0,186.0,0.36,44.5,26011.0,488.0,0.0,41.6,13081.0,111.0,0.31,47.8,2508.0,9.0,0.2,45.0,24467.0,12.0,0.0,44.1,31014.0,62.0,0.0,,,,,41.6,16108.0,185.0,0.0,41.4,8258.0,509.0,0.67,45.5,29365.0,11.0,0.24,45.2,6423.0,40.0,0.39,45.1,28457.0,26.0,0.0,44.1,27741.0,520.0,0.0,44.4,23327.0,77.0,0.0,42.8,21883.0,65.0,0.0,42.8,9231.0,15.0,0.35,44.9,7463.0,22.0,0.32,40.0,5382.0,39.0,0.38,42.5,16397.0,54.0,0.0,42.3,24647.0,66.0,0.23,42.9,23376.0,89.0,0.0,46.0,2816.0,13.0,0.23,43.9,9503.0,346.0,0.81,40.6,9304.0,27.0,0.34,41.4,9044.0,14.0,0.26,42.3,15567.0,42.0,0.0,46.1,21901.0,16.0,0.0,42.5,18840.0,419.0,0.0,42.5,6688.0,14.0,0.34,42.0,20083.0,37.0,0.43,40.7,13017.0,34.0,0.4,45.2,32090.0,4.0,0.0,44.2,28554.0,18.0,0.0,44.2,7546.0,6.0,0.24
E,1C,47.3,6962.0,66.0,0.42,,,,,,,,,,,,,42.6,9417.0,22.0,0.16,,,,,44.3,8392.0,24.0,0.24,,,,,47.5,5689.0,1.0,0.31,,,,,39.1,4625.0,5.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,48.3,7678.0,24.0,0.22,49.3,7583.0,17.0,0.4,49.7,7259.0,7.0,0.28,49.6,9950.0,23.0,0.32,,,,,,,,,,,,,43.6,9996.0,34.0,0.28,49.0,7750.0,36.0,0.47,42.9,7349.0,42.0,0.27,49.8,7367.0,57.0,0.31,,,,,,,,,41.4,10292.0,80.0,0.39,41.9,10529.0,11.0,0.19,48.6,7015.0,21.0,0.23,45.2,9249.0,21.0,0.29,,,,,,,,,,,,,45.5,7296.0,9.0,0.22,42.6,8823.0,16.0,0.1,,,,,49.5,9116.0,11.0,0.21,,,,,,,,,44.1,8097.0,17.0,0.24,49.9,7885.0,41.0,0.31,,,,,,,,,,,,,,,,,44.5,8659.0,18.0,0.26,50.0,9085.0,20.0,0.3,,,,,,,,,,,,,,,,,45.3,8502.0,12.0,0.18,49.0,6544.0,15.0,0.35,,,,,43.8,9188.0,15.0,0.16,,,,,42.9,3610.0,1.0,0.21,,,,,44.5,8116.0,40.0,0.29,,,,,49.9,8137.0,10.0,0.26,,,,,40.8,8268.0,12.0,0.08,45.1,10490.0,13.0,0.19
E,5Q,47.2,6919.0,65.0,0.57,,,,,,,,,,,,,44.9,8975.0,13.0,0.12,,,,,45.1,8107.0,12.0,0.22,,,,,45.7,4389.0,2.0,0.34,,,,,38.4,3152.0,6.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,48.0,7654.0,30.0,0.22,46.3,7552.0,26.0,0.35,48.4,7251.0,6.0,0.24,48.5,9417.0,28.0,0.35,,,,,,,,,,,,,44.2,9212.0,22.0,0.24,47.4,7718.0,50.0,0.51,42.6,7026.0,48.0,0.26,48.0,7336.0,65.0,0.27,,,,,,,,,43.1,9001.0,38.0,0.34,42.3,9856.0,8.0,0.14,48.6,7008.0,21.0,0.26,44.3,8671.0,17.0,0.19,,,,,,,,,,,,,42.4,6904.0,16.0,0.18,29.2,1249.0,47.0,0.21,,,,,48.0,8421.0,16.0,0.24,,,,,,,,,44.6,7168.0,7.0,0.19,48.3,7869.0,44.0,0.33,,,,,,,,,,,,,,,,,45.3,8152.0,10.0,0.19,48.5,9063.0,28.0,0.26,,,,,,,,,,,,,,,,,44.2,7847.0,10.0,0.14,47.0,6531.0,17.0,0.35,,,,,44.7,8709.0,12.0,0.13,,,,,42.4,2132.0,2.0,0.15,,,,,45.4,7748.0,20.0,0.26,,,,,48.5,8121.0,13.0,0.23,,,,,33.2,4575.0,52.0,0.16,43.1,9310.0,11.0,0.15
E,7Q,49.7,6946.0,66.0,0.0,,,,,,,,,,,,,45.2,8971.0,15.0,0.0,,,,,45.0,8116.0,14.0,0.0,,,,,47.7,4393.0,1.0,0.0,,,,,40.5,2768.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,46.9,7657.0,34.0,0.0,45.4,7519.0,28.0,0.0,48.0,7251.0,8.0,0.0,49.8,9423.0,23.0,0.0,,,,,,,,,,,,,44.2,9219.0,25.0,0.0,48.9,7727.0,48.0,0.0,42.7,7075.0,57.0,0.0,49.7,7349.0,62.0,0.0,,,,,,,,,43.1,8970.0,46.0,0.0,43.1,9864.0,3.0,0.0,50.3,7006.0,21.0,0.0,44.6,8682.0,18.0,0.0,,,,,,,,,,,,,43.4,6912.0,19.0,0.0,43.6,7898.0,11.0,0.0,,,,,49.3,8452.0,14.0,0.0,,,,,,,,,45.1,7176.0,5.0,0.0,49.7,7876.0,42.0,0.0,,,,,,,,,,,,,,,,,45.5,8157.0,10.0,0.0,49.6,9066.0,23.0,0.0,,,,,,,,,,,,,,,,,44.9,7853.0,10.0,0.0,48.6,6531.0,15.0,0.0,,,,,44.4,8697.0,10.0,0.0,,,,,43.3,2021.0,3.0,0.0,,,,,45.7,7746.0,25.0,0.0,,,,,48.0,8128.0,11.0,0.0,,,,,43.3,7477.0,7.0,0.0,44.2,9316.0,11.0,0.0
E,8Q,44.8,5236.0,1097.0,0.0,,,,,,,,,,,,,48.1,8835.0,14.0,0.0,,,,,48.1,8027.0,11.0,0.0,,,,,42.7,4394.0,0.0,0.0,,,,,36.4,146.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,44.3,7566.0,40.0,0.0,41.8,7539.0,16.0,0.0,44.7,7225.0,7.0,0.0,45.7,9400.0,33.0,0.0,,,,,,,,,,,,,47.1,9273.0,14.0,0.0,44.4,7722.0,38.0,0.0,45.3,7197.0,26.0,0.0,45.4,7352.0,61.0,0.0,,,,,,,,,46.0,9056.0,24.0,0.0,45.7,9881.0,1.0,0.0,46.7,6792.0,115.0,0.0,47.4,8706.0,10.0,0.0,,,,,,,,,,,,,45.9,6935.0,11.0,0.0,47.0,2490.0,1.0,0.0,,,,,45.0,8455.0,10.0,0.0,,,,,,,,,47.8,7190.0,4.0,0.0,45.5,7878.0,39.0,0.0,,,,,,,,,,,,,,,,,48.3,8193.0,6.0,0.0,45.7,9032.0,27.0,0.0,,,,,,,,,,,,,,,,,47.5,7875.0,8.0,0.0,43.5,6521.0,18.0,0.0,,,,,47.5,8728.0,10.0,0.0,,,,,46.0,623.0,0.0,0.0,,,,,48.3,7836.0,11.0,0.0,,,,,45.0,8126.0,10.0,0.0,,,,,45.1,5462.0,7.0,0.0,46.6,9322.0,10.0,0.0
G,1C,44.6,32008.0,310.0,0.33,44.6,30314.0,58.0,0.35,43.0,30532.0,194.0,0.42,44.6,28998.0,78.0,0.4,43.0,30804.0,95.0,0.28,44.3,33848.0,59.0,0.42,44.4,27312.0,105.0,0.42,44.4,29040.0,130.0,0.4,47.0,32465.0,95.0,0.33,44.6,28448.0,40.0,0.53,42.1,32018.0,189.0,0.22,42.8,31960.0,130.0,0.4,43.1,32672.0,108.0,0.35,44.4,28772.0,44.0,0.31,44.8,28279.0,73.0,0.6,42.5,27739.0,121.0,0.39,43.5,29704.0,89.0,0.44,45.5,29190.0,121.0,0.23,47.4,29511.0,73.0,0.31,47.9,28179.0,29.0,0.31,47.7,33091.0,65.0,0.28,44.7,27642.0,70.0,0.34,43.7,31161.0,110.0,0.52,43.9,30349.0,205.0,0.66,44.2,31603.0,165.0,0.44,47.4,32445.0,52.0,0.34,43.4,31603.0,147.0,0.36,47.8,30801.0,167.0,0.27,43.9,29572.0,310.0,0.65,43.6,33036.0,169.0,0.44,42.8,31686.0,146.0,0.45,42.9,32075.0,138.0,0.3,45.8,25903.0,171.0,0.26,45.3,29508.0,94.0,0.42,43.3,32204.0,154.0,0.49,43.7,31356.0,113.0,0.47,44.7,30580.0,218.0,0.44,45.7,29281.0,43.0,0.31,43.9,27310.0,73.0,0.32,43.2,30707.0,96.0,0.64,47.3,29706.0,121.0,0.21,44.0,29928.0,176.0,0.57,41.9,32038.0,103.0,0.43,44.2,26530.0,90.0,0.38,48.0,30515.0,95.0,0.25,44.7,27067.0,127.0,0.58,43.2,31943.0,121.0,0.58,43.4,28516.0,259.0,0.85,44.0,28203.0,212.0,0.83,44.7,27599.0,76.0,0.36,47.9,32722.0,52.0,0.3,43.9,32475.0,104.0,0.36,43.8,31085.0,200.0,0.66,42.9,29882.0,50.0,0.33,42.0,29317.0,127.0,0.7,46.1,27625.0,84.0,0.23,47.3,30547.0,112.0,0.3,44.1,30039.0,92.0,0.4,43.8,29433.0,68.0,0.27,43.3,27368.0,273.0,0.81,45.3,30890.0,78.0,0.33,43.7,31270.0,110.0,0.67,44.9,25414.0,110.0,0.39,45.0,27785.0,84.0,0.6,47.8,29531.0,86.0,0.26,43.3,31167.0,100.0,0.58,42.0,28677.0,55.0,0.22,45.6,34017.0,52.0,0.22
G,2S,43.4,19420.0,195.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,19205.0,43.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,16849.0,79.0,0.18,42.9,17816.0,62.0,0.18,44.4,16966.0,23.0,0.17,,,,,,,,,,,,,,,,,,,,,43.9,19866.0,30.0,0.22,,,,,44.6,18090.0,130.0,0.19,,,,,,,,,,,,,,,,,45.4,15150.0,88.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,18400.0,57.0,0.15,,,,,,,,,,,,,,,,,,,,,44.3,19682.0,41.0,0.19,,,,,,,,,,,,,,,,,,,,,44.1,18582.0,59.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,17337.0,34.0,0.16,,,,,,,,,,,,
G,2W,40.2,31854.0,357.0,0.34,32.1,29886.0,103.0,0.33,28.8,29097.0,444.0,0.41,31.6,28242.0,128.0,0.4,29.6,30686.0,77.0,0.22,29.8,32977.0,130.0,0.35,31.4,27114.0,79.0,0.28,31.7,27827.0,224.0,0.4,40.8,32402.0,98.0,0.25,30.9,27634.0,71.0,0.36,30.6,30900.0,57.0,0.16,28.9,31226.0,243.0,0.36,29.8,31607.0,206.0,0.34,32.0,28163.0,104.0,0.31,30.8,26943.0,83.0,0.43,29.1,26327.0,122.0,0.34,28.6,28803.0,146.0,0.47,38.6,29032.0,198.0,0.25,39.3,29395.0,113.0,0.24,41.1,28131.0,37.0,0.23,41.3,33058.0,70.0,0.24,33.2,26839.0,121.0,0.38,30.2,29724.0,132.0,0.38,30.1,28951.0,119.0,0.39,30.1,31291.0,136.0,0.33,40.9,32405.0,60.0,0.29,27.9,31196.0,110.0,0.29,41.5,30667.0,203.0,0.22,30.3,27336.0,269.0,0.45,29.6,32051.0,431.0,0.42,28.9,31422.0,118.0,0.28,28.0,31730.0,87.0,0.3,41.7,25813.0,202.0,0.24,32.1,29298.0,85.0,0.25,30.4,31135.0,278.0,0.42,30.0,30175.0,303.0,0.41,32.1,29478.0,257.0,0.38,32.0,29212.0,38.0,0.15,31.0,27201.0,63.0,0.19,29.2,29422.0,181.0,0.4,41.1,29539.0,143.0,0.19,30.6,28626.0,237.0,0.4,28.3,30133.0,215.0,0.39,31.8,26387.0,81.0,0.24,42.0,30469.0,94.0,0.19,32.2,25640.0,102.0,0.41,29.0,30541.0,86.0,0.37,30.1,26296.0,137.0,0.49,30.5,26170.0,106.0,0.49,31.8,27478.0,68.0,0.23,41.5,32696.0,58.0,0.22,30.6,31489.0,203.0,0.34,30.0,29581.0,219.0,0.4,29.1,29150.0,52.0,0.3,27.6,26994.0,101.0,0.43,33.1,27373.0,69.0,0.3,41.1,30417.0,111.0,0.23,31.9,28913.0,223.0,0.39,30.2,29341.0,64.0,0.27,30.1,24641.0,270.0,0.53,32.2,30549.0,50.0,0.17,28.9,30070.0,111.0,0.4,32.6,25126.0,83.0,0.29,30.7,26797.0,93.0,0.41,41.7,29467.0,83.0,0.2,29.3,30153.0,193.0,0.39,26.4,28386.0,30.0,0.13,32.7,33935.0,47.0,0.26
