,,ABMF00GLP,ABMF00GLP,ABMF00GLP,ABMF00GLP,ALIC00AUS,ALIC00AUS,ALIC00AUS,ALIC00AUS,AREG00PER,AREG00PER,AREG00PER,AREG00PER,BRST00FRA,BRST00FRA,BRST00FRA,BRST00FRA,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CHPG00BRA,CHPG00BRA,CHPG00BRA,CHPG00BRA,CIBG00IDN,CIBG00IDN,CIBG00IDN,CIBG00IDN,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,DJIG00DJI,DJIG00DJI,DJIG00DJI,DJIG00DJI,DYNG00GRC,DYNG00GRC,DYNG00GRC,DYNG00GRC,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,FTNA00WLF,FTNA00WLF,FTNA00WLF,FTNA00WLF,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,GRAC00FRA,GRAC00FRA,GRAC00FRA,GRAC00FRA,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,JFNG00CHN,JFNG00CHN,JFNG00CHN,JFNG00CHN,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUG00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,KRGG00ATF,KRGG00ATF,KRGG00ATF,KRGG00ATF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,LMMF00MTQ,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MARS00FRA,MARS00FRA,MARS00FRA,MARS00FRA,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MAYG00MYT,MAYG00MYT,MAYG00MYT,MAYG00MYT,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NKLG00GAB,NKLG00GAB,NKLG00GAB,NKLG00GAB,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REUN00REU,REUN00REU,REUN00REU,REUN00REU,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,RGDG00ARG,RGDG00ARG,RGDG00ARG,RGDG00ARG,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,STJ300CAN,STJ300CAN,STJ300CAN,STJ300CAN,THTG00PYF,THTG00PYF,THTG00PYF,THTG00PYF,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSE00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TLSG00FRA,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,UNBN00CAN,UNBN00CAN,UNBN00CAN,UNBN00CAN,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YEL200CAN,YEL200CAN,YEL200CAN,YEL200CAN
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
C,2I,40.3,2370.0,53.0,0.58,,,,,44.7,2298.0,3.0,0.31,39.6,8330.0,31.0,0.46,39.6,11673.0,10.0,0.44,,,,,39.6,8213.0,37.0,0.53,44.6,2153.0,19.0,0.45,42.8,22909.0,20.0,0.17,,,,,43.6,29735.0,16.0,0.18,41.2,23778.0,2091.0,2.86,40.0,21804.0,81.0,0.38,39.4,14262.0,53.0,0.39,39.5,8093.0,24.0,0.58,37.4,16248.0,35.0,0.39,38.3,12898.0,396.0,0.6,40.5,9846.0,143.0,0.22,45.6,22911.0,16.0,0.11,45.9,22911.0,16.0,0.13,,,,,41.7,29082.0,22.0,0.28,,,,,,,,,43.9,10949.0,34.0,0.43,41.6,2457.0,12.0,0.43,42.4,2185.0,19.0,0.45,41.8,20683.0,71.0,0.25,,,,,42.1,2435.0,18.0,0.47,,,,,40.4,23076.0,57.0,0.41,38.8,6601.0,119.0,0.88,42.9,6740.0,8.0,0.43,39.9,25306.0,119.0,0.48,,,,,46.8,2234.0,2.0,0.31,,,,,,,,,,,,,,,,,38.5,9000.0,560.0,0.84,43.8,33546.0,37.0,0.29,,,,,,,,,,,,,,,,,41.1,11294.0,12.0,0.46,41.1,17345.0,135.0,0.38,41.5,7098.0,25.0,0.33,40.3,5220.0,16.0,0.42,,,,,,,,,43.5,2973.0,38.0,0.47,40.2,9103.0,416.0,0.82,39.9,9295.0,5.0,0.41,40.2,10781.0,7.0,0.38,,,,,,,,,,,,,,,,,40.0,8045.0,19.0,0.53,40.4,20038.0,41.0,0.56,42.0,12793.0,11.0,0.35,,,,,44.0,8911.0,19.0,0.44
C,7I,46.7,2368.0,54.0,0.63,48.5,22750.0,15.0,0.0,46.3,2295.0,5.0,0.24,39.9,8303.0,40.0,0.38,42.9,9749.0,8.0,0.22,41.7,23873.0,126.0,0.0,42.2,6909.0,10.0,0.39,45.9,2110.0,28.0,0.42,48.1,22909.0,20.0,0.14,42.2,11902.0,13.0,0.0,45.6,29585.0,8.0,0.13,40.0,18713.0,2229.0,2.89,40.3,21663.0,140.0,0.3,42.4,14189.0,88.0,0.29,39.8,8039.0,34.0,0.44,41.5,16154.0,92.0,0.26,39.7,12783.0,417.0,0.52,40.2,8817.0,38.0,0.27,44.5,22910.0,16.0,0.1,46.3,22911.0,16.0,0.11,,,,,44.3,29030.0,39.0,0.21,44.5,32001.0,18.0,0.0,43.7,20902.0,70.0,0.0,44.9,8606.0,18.0,0.35,45.9,2455.0,14.0,0.53,43.8,2211.0,15.0,0.41,46.3,20630.0,105.0,0.25,42.6,20507.0,202.0,0.0,43.1,2409.0,26.0,0.42,43.9,22274.0,52.0,0.0,42.0,17709.0,22.0,0.25,44.7,6597.0,123.0,1.02,41.0,6043.0,7.0,0.38,42.5,25138.0,189.0,0.36,44.4,26569.0,388.0,0.0,46.8,2232.0,2.0,0.24,45.0,24063.0,16.0,0.0,43.8,31251.0,46.0,0.0,,,,,41.6,15899.0,181.0,0.0,41.7,8890.0,582.0,0.7,45.3,29006.0,13.0,0.23,44.9,28488.0,27.0,0.0,44.1,27613.0,589.0,0.0,44.4,23170.0,49.0,0.0,42.7,22037.0,88.0,0.0,43.3,9326.0,8.0,0.31,44.7,17199.0,165.0,0.3,44.9,7097.0,26.0,0.33,39.1,5183.0,34.0,0.34,42.3,16242.0,65.0,0.0,42.6,23676.0,133.0,0.0,45.4,2701.0,16.0,0.28,43.8,9100.0,416.0,0.82,41.3,9269.0,16.0,0.3,42.1,8873.0,5.0,0.24,42.1,15534.0,54.0,0.0,45.8,20947.0,20.0,0.0,41.9,19704.0,415.0,0.0,,,,,43.1,6839.0,11.0,0.38,42.0,20003.0,54.0,0.43,40.7,12779.0,22.0,0.39,45.3,32219.0,9.0,0.0,44.2,7364.0,19.0,0.23
E,1C,46.9,7427.0,48.0,0.45,49.4,7017.0,18.0,0.35,,,,,,,,,42.7,9016.0,12.0,0.17,,,,,43.8,8588.0,20.0,0.29,,,,,48.0,2372.0,2.0,0.4,,,,,42.1,1655.0,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,48.3,7322.0,21.0,0.25,50.0,6010.0,15.0,0.33,50.2,5740.0,14.0,0.35,49.7,9319.0,32.0,0.3,,,,,,,,,,,,,43.6,8675.0,32.0,0.27,49.0,8323.0,18.0,0.33,42.5,9731.0,40.0,0.22,49.5,7289.0,51.0,0.33,,,,,,,,,42.9,8676.0,14.0,0.3,42.3,9530.0,20.0,0.19,48.5,6567.0,15.0,0.23,44.7,9593.0,19.0,0.3,,,,,,,,,44.6,10042.0,13.0,0.21,42.4,8380.0,27.0,0.1,,,,,49.7,8347.0,9.0,0.24,,,,,,,,,43.9,7769.0,20.0,0.26,,,,,,,,,,,,,,,,,44.4,8244.0,26.0,0.3,,,,,49.9,8554.0,16.0,0.29,,,,,,,,,,,,,44.8,8632.0,29.0,0.18,49.4,7748.0,18.0,0.3,,,,,43.8,8975.0,13.0,0.17,,,,,42.4,2931.0,2.0,0.32,,,,,48.1,7421.0,10.0,0.2,44.4,8007.0,25.0,0.26,,,,,49.6,8295.0,12.0,0.28,,,,,45.2,9260.0,34.0,0.19
E,5Q,46.7,7356.0,48.0,0.54,47.7,6837.0,26.0,0.31,,,,,,,,,45.1,8174.0,9.0,0.14,,,,,44.5,7646.0,17.0,0.23,,,,,46.3,1451.0,4.0,0.47,,,,,40.5,1595.0,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,48.1,7305.0,29.0,0.25,47.5,5989.0,18.0,0.31,49.0,5724.0,19.0,0.33,48.5,8555.0,44.0,0.32,,,,,,,,,,,,,44.1,7952.0,24.0,0.25,47.4,8285.0,25.0,0.33,41.5,9007.0,26.0,0.23,47.5,7240.0,69.0,0.35,,,,,,,,,44.4,8491.0,5.0,0.22,43.0,8621.0,13.0,0.14,48.7,6555.0,19.0,0.27,43.8,8300.0,25.0,0.22,,,,,,,,,41.6,8959.0,20.0,0.17,29.5,1434.0,31.0,0.21,,,,,48.3,7503.0,10.0,0.23,,,,,,,,,43.9,6916.0,10.0,0.2,,,,,,,,,,,,,,,,,45.2,7412.0,10.0,0.23,,,,,48.5,8473.0,21.0,0.22,,,,,,,,,,,,,43.9,7782.0,23.0,0.15,47.8,7642.0,16.0,0.3,,,,,44.8,8050.0,11.0,0.14,,,,,40.9,2204.0,2.0,0.22,,,,,47.7,7409.0,11.0,0.3,45.2,7098.0,12.0,0.25,,,,,48.4,7837.0,11.0,0.24,,,,,43.4,8612.0,26.0,0.16
E,7Q,49.4,7418.0,50.0,0.0,49.9,6861.0,21.0,0.0,,,,,,,,,45.3,8174.0,10.0,0.0,,,,,44.4,7649.0,18.0,0.0,,,,,48.4,1454.0,2.0,0.0,,,,,43.4,1500.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,47.4,7304.0,29.0,0.0,47.2,5993.0,18.0,0.0,48.8,5727.0,17.0,0.0,49.8,8563.0,35.0,0.0,,,,,,,,,,,,,44.0,7956.0,18.0,0.0,48.5,8309.0,23.0,0.0,41.7,9026.0,28.0,0.0,49.3,7262.0,61.0,0.0,,,,,,,,,44.3,8482.0,7.0,0.0,43.8,8616.0,13.0,0.0,50.3,6566.0,16.0,0.0,44.0,8324.0,26.0,0.0,,,,,,,,,42.7,8942.0,22.0,0.0,43.2,7813.0,20.0,0.0,,,,,49.6,7520.0,8.0,0.0,,,,,,,,,44.5,6953.0,13.0,0.0,,,,,,,,,,,,,,,,,45.3,7420.0,14.0,0.0,,,,,49.7,8481.0,17.0,0.0,,,,,,,,,,,,,44.5,7799.0,21.0,0.0,49.2,7699.0,22.0,0.0,,,,,44.4,8004.0,11.0,0.0,,,,,41.5,2094.0,1.0,0.0,,,,,46.7,7402.0,12.0,0.0,45.5,7108.0,13.0,0.0,,,,,47.9,7842.0,8.0,0.0,,,,,44.3,8623.0,26.0,0.0
E,8Q,44.4,5704.0,1032.0,0.0,45.4,6854.0,19.0,0.0,,,,,,,,,48.2,8197.0,8.0,0.0,,,,,47.4,7680.0,13.0,0.0,,,,,43.6,1455.0,2.0,0.0,,,,,49.9,434.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,44.7,7074.0,36.0,0.0,43.7,6002.0,15.0,0.0,45.6,5737.0,13.0,0.0,45.7,8525.0,59.0,0.0,,,,,,,,,,,,,46.8,7994.0,16.0,0.0,43.8,8267.0,20.0,0.0,44.4,9109.0,12.0,0.0,44.9,7265.0,55.0,0.0,,,,,,,,,47.5,8517.0,5.0,0.0,46.3,8669.0,8.0,0.0,46.7,6463.0,80.0,0.0,46.7,8374.0,22.0,0.0,,,,,,,,,45.1,8960.0,9.0,0.0,47.6,2325.0,3.0,0.0,,,,,45.4,7524.0,7.0,0.0,,,,,,,,,47.1,6992.0,11.0,0.0,,,,,,,,,,,,,,,,,48.2,7452.0,6.0,0.0,,,,,45.6,8468.0,19.0,0.0,,,,,,,,,,,,,47.2,7802.0,13.0,0.0,44.3,7696.0,11.0,0.0,,,,,47.5,8027.0,6.0,0.0,,,,,,,,,,,,,43.8,7404.0,12.0,0.0,48.3,7136.0,8.0,0.0,,,,,44.8,7859.0,10.0,0.0,,,,,46.9,8625.0,26.0,0.0
G,1C,44.6,32169.0,261.0,0.33,47.1,29139.0,272.0,0.34,44.5,30253.0,48.0,0.34,44.7,28911.0,77.0,0.41,43.1,30939.0,79.0,0.26,44.4,33843.0,55.0,0.44,44.5,28020.0,103.0,0.37,44.4,29125.0,118.0,0.42,46.9,32879.0,196.0,0.38,44.5,28500.0,47.0,0.52,42.3,31736.0,176.0,0.21,42.9,32047.0,56.0,0.35,43.0,32660.0,76.0,0.33,44.2,28784.0,53.0,0.32,44.9,28244.0,73.0,0.59,42.4,27740.0,115.0,0.4,42.8,29709.0,104.0,0.48,45.5,29158.0,111.0,0.21,47.3,29633.0,80.0,0.3,47.7,28176.0,30.0,0.3,47.7,33120.0,68.0,0.28,44.4,27312.0,61.0,0.34,43.6,31111.0,84.0,0.53,43.8,30310.0,204.0,0.68,44.1,31195.0,156.0,0.41,47.5,32239.0,63.0,0.33,43.3,32517.0,138.0,0.34,47.9,31368.0,233.0,0.26,43.7,29660.0,277.0,0.66,43.5,33061.0,146.0,0.43,42.7,31614.0,127.0,0.46,42.7,33259.0,136.0,0.32,45.9,25978.0,142.0,0.25,45.3,30462.0,117.0,0.4,43.2,32070.0,167.0,0.48,43.6,31358.0,101.0,0.45,45.6,30296.0,50.0,0.32,43.9,27269.0,70.0,0.33,43.0,30701.0,73.0,0.66,47.4,29688.0,115.0,0.22,43.9,29858.0,187.0,0.58,42.0,32161.0,99.0,0.42,44.0,27099.0,97.0,0.4,44.5,26941.0,119.0,0.58,43.0,31889.0,123.0,0.58,43.3,28452.0,250.0,0.86,44.0,28167.0,203.0,0.82,44.8,28402.0,70.0,0.38,44.9,28600.0,135.0,0.4,47.9,32785.0,57.0,0.28,44.0,32473.0,79.0,0.34,43.7,31096.0,187.0,0.64,41.8,29221.0,104.0,0.7,45.6,28193.0,92.0,0.23,47.3,30574.0,124.0,0.3,44.1,29983.0,73.0,0.37,43.9,30133.0,58.0,0.25,43.2,27156.0,311.0,0.79,45.2,31191.0,77.0,0.32,43.6,31222.0,78.0,0.68,46.9,27359.0,27.0,0.17,44.9,26119.0,112.0,0.38,45.0,27766.0,78.0,0.61,47.8,29583.0,61.0,0.26,43.3,31070.0,137.0,0.58,45.5,34153.0,108.0,0.23
G,2S,43.4,19526.0,171.0,0.26,44.4,17384.0,103.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,44.1,19114.0,86.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,16816.0,85.0,0.16,42.8,17821.0,68.0,0.2,44.1,16945.0,20.0,0.14,,,,,,,,,,,,,,,,,,,,,43.1,19502.0,41.0,0.21,,,,,44.7,18029.0,151.0,0.19,,,,,,,,,,,,,,,,,45.5,15192.0,83.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,19715.0,39.0,0.17,,,,,,,,,,,,,,,,,44.2,18541.0,67.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,17363.0,32.0,0.15,,,,,,,,
G,2W,40.2,32039.0,296.0,0.33,41.6,28874.0,288.0,0.29,31.9,29812.0,139.0,0.32,31.7,28250.0,107.0,0.41,29.8,30834.0,59.0,0.21,29.8,33010.0,134.0,0.36,31.4,27848.0,85.0,0.26,31.7,27979.0,213.0,0.4,40.7,32752.0,239.0,0.31,30.8,27632.0,71.0,0.35,30.8,30675.0,55.0,0.14,28.9,31407.0,118.0,0.34,29.7,31548.0,187.0,0.32,31.9,28151.0,111.0,0.3,30.9,26871.0,79.0,0.43,29.0,26318.0,132.0,0.34,27.2,28621.0,178.0,0.51,38.5,29006.0,165.0,0.21,39.2,29497.0,119.0,0.24,40.8,28128.0,39.0,0.22,41.3,33077.0,79.0,0.26,33.0,26380.0,83.0,0.37,30.0,29560.0,121.0,0.38,30.0,28935.0,126.0,0.39,29.7,30896.0,136.0,0.3,40.0,32208.0,72.0,0.28,27.5,32030.0,99.0,0.26,41.6,31213.0,277.0,0.23,30.3,27338.0,280.0,0.49,29.4,32166.0,389.0,0.42,28.9,31355.0,125.0,0.29,27.8,32903.0,89.0,0.31,41.8,25905.0,152.0,0.26,32.2,30212.0,98.0,0.22,30.1,31050.0,306.0,0.45,30.1,30162.0,268.0,0.4,31.8,30210.0,51.0,0.19,31.1,27145.0,59.0,0.2,28.8,29186.0,150.0,0.41,41.1,29539.0,134.0,0.17,30.5,28582.0,236.0,0.41,28.5,30188.0,239.0,0.39,31.1,26966.0,84.0,0.24,31.8,25475.0,103.0,0.41,28.7,30451.0,105.0,0.37,29.9,26261.0,186.0,0.5,30.5,26185.0,129.0,0.49,32.0,28314.0,65.0,0.25,32.4,27747.0,147.0,0.4,41.6,32758.0,63.0,0.21,30.8,31527.0,166.0,0.31,30.0,29478.0,197.0,0.39,27.5,26774.0,99.0,0.43,32.0,27953.0,69.0,0.26,41.1,30459.0,129.0,0.24,32.1,28869.0,205.0,0.38,30.6,30055.0,57.0,0.27,30.0,24378.0,258.0,0.54,32.2,30717.0,57.0,0.16,28.8,29857.0,112.0,0.39,40.6,27336.0,29.0,0.21,32.6,25794.0,79.0,0.29,30.6,26829.0,91.0,0.42,41.7,29527.0,73.0,0.2,29.4,30050.0,256.0,0.41,32.6,34078.0,104.0,0.27
