id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
1,ABMF00GLP,2919786.0,-5383745.0,1774604.0,16.262,-61.528,-25.268,SEPT POLARX5
2,ABPO00MDG,4097216.6805,4429119.0287,-2065771.3676,-19.018,47.229,1553.398,SEPT POLARX5
3,AC2300USA,-2752834.7418,-1533597.398,5526823.2554,60.475,-150.878,80.744,SEPT POLARX5
4,ACRG00GHA,6347491.377,-22944.8986,622822.4766,5.641,-0.207,83.792,JAVAD TR_G3TH
5,ACSO00USA,595828.9368,-4839735.3204,4097876.7222,40.232,-82.982,249.810,SEPT POLARX5
6,AGGO00ARG,2765122.098,-4449250.084,-3626405.34,-34.874,-58.14,42.744,SEPT POLARX5TR
7,AIRA00JPN,-3530185.4889999996,4118797.337,3344036.9310000003,31.824,130.6,315.056,TRIMBLE ALLOY
8,AJAC00FRA,4696990.0,723994.0,4239678.0,41.927,8.763,99.2,SEPT POLARX5
9,ALBH00CAN,-2341332.884,-3539049.5089999996,4745791.36,48.39,-123.48700000000001,32.176,SEPT POLARX5
10,ALGO00CAN,918129.4,-4346071.2,4561977.8,45.956,-78.071,201.25799999999998,SEPT POLARX5
11,ALIC00AUS,-4052052.7301,4212835.9796,-2545104.587,-23.67,133.886,603.645,SEPT POLARX5
12,AMC400USA,-1248596.405,-4819428.21,3976505.93,38.803000000000004,-104.525,1911.816,SEPT POLARX5TR
13,ANKR00TUR,4121934.26,2652189.812,4069034.9110000003,39.888000000000005,32.759,975.191,LEICA GR30
14,ANMG00MYS,-1270826.87,6242631.446,307792.439,2.785,101.507,15.402000000000001,TRIMBLE NETR9
15,AREG00PER,1942816.3653,-5804077.1395,-1796884.4383,-16.465,-71.493,2489.742,SEPT POLARX5
16,AREQ00PER,1942826.1919999998,-5804070.331,-1796894.267,-16.465999999999998,-71.493,2489.327,SEPT POLARX5
17,ARHT00ATA,-1312626.5359999998,311171.12899999996,-6213081.915,-77.829,166.66400000000002,135.782,JAVAD TRE_3 DELTA
18,ARUC00ARM,3500416.7822,3390432.6839,4103027.5848,40.286,44.086000000000006,1222.58,SEPT POLARX5
19,ASCG00SHN,6121151.5493,-1563978.9235,-872615.3556,-7.916,-14.333,38.354,TRIMBLE ALLOY
20,ATRU00KAZ,2679051.8578,3423332.414,4651652.39,47.131,51.95399999999999,-31.622,LEICA GR10
